"Gene","Buludo_baseMean","Buludo_log2FoldChange","Buludo_lfcSE","Buludo_pvalue","Buludo_padj"
"Solyc02g084850.3.1",5521.4153684513,6.73567667778581,1.69983261283289,5.19780131192381e-06,4.63164521955911e-05
"Solyc04g081900.4.1",463.375282467117,1.17415765174303,0.460144290652059,0.00191735449192071,0.00692204226441817
"Solyc06g067980.3.1",139.600475709317,2.96201471965469,0.650160777641823,4.39464306137054e-07,5.51676799433785e-06
