GSE233233_UP_Gene_Name_leaf_Salt.stress_vs_control,GSE152620_UP_Gene_Name_leaf_Salt.stress_vs_control,GSE148353_UP_Gene_Name_leaf_Salt.stress_vs_control,3_GSE106149_Up_Gene_Name_ROOT_WT,7_GSE106149_Up_Gene_Name_Leaflet_WT,1_GSE16401_Up_Gene_Name_MoneyMaker_Whole_Plant
CHI3,Solyc00g021630,ACO1,NM_001247565,NM_001247432,ACS2
CYP707A2,Solyc00g180440,AG1,NM_001247607,NM_001247438,AOS1
LE16,Solyc00g500293,AOS1,NM_001247898,NM_001247640,CHI17
LE25,Solyc01g005010,AOS2,Solyc00g022070,NM_001247898,E4
NAP1,Solyc01g005230,CHI17,Solyc00g048510,Solyc00g007270,LE16
NCED1,Solyc01g005370,CHI3,Solyc00g050430,Solyc00g027770,NAP1
Solyc01g005930,Solyc01g005450,CHI9,Solyc00g058890,Solyc00g050130,NAP2
Solyc01g006020,Solyc01g005530,Solyc01g111170,Solyc00g071180,Solyc00g136260,NCED1
Solyc01g006950,Solyc01g005680,LE16,Solyc00g136560,Solyc00g170200,Plant_SRP
Solyc01g008300,Solyc01g005930,LE25,Solyc00g170510,Solyc00g187050,Solyc01g005410
Solyc01g008560,Solyc01g006020,NAP1,Solyc00g174330,Solyc00g217960,Solyc01g005430
Solyc01g010480,Solyc01g006200,NCED1,Solyc00g206460,Solyc00g272810,Solyc01g006050
Solyc01g057000,Solyc01g006290,Solyc07g007870,Solyc01g005140,Solyc01g005020,Solyc01g007010
Solyc01g057910,Solyc01g006350,SAM3,Solyc01g005500,Solyc01g005300,Solyc01g007020
Solyc01g060070,Solyc01g006555,SAR2,Solyc01g006050,Solyc01g006020,Solyc01g007025
Solyc01g065530,Solyc01g006900,Solyc01g005410,Solyc01g006070,Solyc01g006150,Solyc01g007030
Solyc01g066430,Solyc01g007810,Solyc01g005560,Solyc01g006150,Solyc01g006670,Solyc01g007040
Solyc01g066570,Solyc01g008300,Solyc01g005930,Solyc01g006530,Solyc01g006680,Solyc01g007110
