name,ID
Solyc05g005670.1,Solyc06g005470.2
Solyc04g077810.1,Solyc12g006850.1
Solyc04g055150.1,Solyc11g011580.1
Solyc08g079970.1,Solyc11g040150.1
Solyc04g055130.1,Solyc01g098500.2
Solyc10g075160.1,Solyc09g013150.2
Solyc02g084860.1,Solyc03g045140.2
Solyc12g006000.1,Solyc03g113280.2
Solyc11g010210.1,Solyc12g055700.1
Solyc12g098290.1,Solyc04g008960.2
Solyc04g005170.1,Solyc02g086460.2
Solyc10g080430.1,Solyc10g084120.1
Solyc02g062140.2,Solyc05g051810.1
Solyc12g096920.1,Solyc09g089680.2
Solyc09g015380.1,Solyc04g014220.1
Solyc08g080930.1,Solyc02g078500.2
Solyc07g051880.1,Solyc03g095770.2
Solyc04g074830.1,Solyc01g108630.2
Solyc08g067310.1,Solyc06g083120.1
Solyc09g082190.1,Solyc07g009310.2
Solyc06g009250.1,Solyc08g067700.1
Solyc06g060500.1,Solyc08g014330.2
Solyc06g068960.1,Solyc02g093430.2
Solyc12g017460.1,Solyc04g025750.2
,Solyc10g079700.1
,Solyc12g049050.1
,Solyc01g073700.2
,Solyc01g073780.2
,Solyc03g006250.2
,Solyc08g080290.2
,Solyc10g079980.1
,Solyc02g064970.2
,Solyc04g009690.1
,XM_004232056.1
,Solyc03g043740.2
,Solyc08g006500.2
,Solyc03g120710.2
,Solyc02g082240.1
,Solyc01g111880.2
,Solyc08g082160.2
,Solyc01g017710.1
,Solyc03g098430.2
,Solyc06g061230.2
,Solyc09g089830.2
,Solyc10g086630.1
,Solyc11g005280.1
,Solyc04g015700.1
,Solyc03g093390.2
,XM_004246773.1
,Solyc05g054740.2
,Solyc03g070380.2
,Solyc07g061880.1
,Solyc02g071560.2
,Solyc10g074840.1
,Solyc08g065410.1
,Solyc01g095070.2
,Solyc00g026160.2
,Solyc05g013440.2
,Solyc02g076660.2
,Solyc02g081190.2
,XM_004239026.1
,Solyc09g065770.1
,Solyc05g055270.1
,Solyc01g073820.2
,Solyc07g022830.2
,Solyc12g077370.1
,Solyc07g045440.1
,Solyc12g100080.1
,Solyc11g006270.1
,Solyc07g056400.1
,Solyc12g098250.1
,Solyc01g103590.2
,Solyc08g062330.2
,Solyc07g006710.1
,Solyc07g063390.2
,XM_004246073.1
,Solyc10g084680.1
,Solyc06g084380.2
,Solyc03g082770.1
,Solyc09g009010.2
,XM_004238899.1
,Solyc08g078460.2
,Solyc10g084910.1
,Solyc08g005610.2
,Solyc04g050050.2
,NM_001247640.1
,Solyc10g080510.1
,Solyc01g073860.2
,Solyc09g011140.2
,Solyc09g007810.2
,Solyc11g007890.1
,Solyc01g095860.2
,Solyc07g055390.1
,Solyc12g009420.1
,Solyc09g072590.2
,Solyc04g081550.2
,Solyc06g050140.1
,Solyc12g005230.1
,Solyc06g067860.2
,Solyc03g116160.1
,XR_183079.1
,Solyc01g107540.2
,Solyc02g091540.2
,Solyc06g067870.2
,Solyc06g063190.2
,Solyc04g007030.2
,Solyc05g015950.2
,Solyc06g066770.1
,Solyc01g101070.2
,Solyc09g014820.2
,Solyc05g009790.1
,Solyc09g018170.2
,Solyc08g080750.2
,Solyc06g050320.2
,Solyc01g100240.2
,Solyc04g005040.1
,Solyc01g104550.2
,Solyc12g096030.1
,Solyc01g105190.2
,XM_004237558.1
,Solyc06g083160.1
,Solyc09g064910.1
,Solyc02g082150.1
,Solyc04g074470.1
,Solyc07g055670.1
,Solyc06g049020.1
,Solyc06g083910.2
,Solyc01g005890.1
,Solyc10g006430.1
,Solyc06g075650.2
,Solyc06g060600.1
,Solyc03g115870.2
,Solyc10g081790.1
,Solyc12g094570.1
,Solyc02g083880.2
,Solyc12g042980.1
,Solyc06g050760.1
,Solyc09g072600.1
,Solyc02g092240.2
,Solyc03g007570.2
,Solyc02g093990.2
,Solyc08g067690.1
,Solyc01g096820.2
,Solyc08g068130.1
,Solyc06g050900.2
,Solyc05g008200.2
,XM_004236886.1
,Solyc12g006800.1
,Solyc05g008990.2
,Solyc09g005500.2
,Solyc05g006750.2
,Solyc03g033460.2
,Solyc03g113970.2
,Solyc05g006190.1
