name,SPOT_ID
Solyc07g064410.1,Solyc02g063000.2
Solyc09g075470.2,Solyc10g005080.2
Solyc01g107460.2,XM_004240826.1
Solyc01g005590.2,XM_004230932.1
Solyc06g066700.1,Solyc10g079620.1
Solyc06g074800.1,Solyc03g025710.2
Solyc06g035700.1,Solyc03g120020.2
Solyc06g063280.1,Solyc07g064410.1
Solyc02g076640.1,Solyc03g005790.2
Solyc09g075580.1,Solyc06g036260.2
Solyc07g039310.1,Solyc04g050440.2
Solyc09g009420.1,XM_004249460.1
Solyc03g120920.1,Solyc12g044330.1
Solyc06g064610.1,Solyc02g092110.2
Solyc05g011890.1,Solyc03g116730.2
Solyc12g087840.1,Solyc09g075470.2
Solyc06g066530.1,Solyc01g107460.2
Solyc04g081530.1,XM_004248130.1
Solyc08g007830.1,Solyc11g005430.1
Solyc12g009070.1,Solyc11g006300.1
Solyc08g066420.1,Solyc02g067230.2
Solyc03g082510.1,Solyc01g087590.2
Solyc10g074930.1,Solyc08g080190.2
Solyc01g095530.2,Solyc01g005590.2
Solyc03g096760.1,Solyc06g068970.2
Solyc08g078670.2,Solyc05g052950.2
Solyc10g085870.1,Solyc07g063120.2
Solyc05g009420.1,Solyc01g094700.2
Solyc05g050750.1,Solyc11g044250.1
Solyc03g097230.1,Solyc03g098320.2
Solyc06g074530.1,Solyc06g060310.2
Solyc12g006000.1,Solyc12g006050.1
Solyc08g005930.1,Solyc11g065830.1
Solyc07g006670.1,Solyc06g066700.1
LCY1,Solyc10g084430.1
Solyc03g114350.1,Solyc02g093720.2
Solyc01g007810.1,Solyc01g079830.2
Solyc06g053260.1,Solyc01g066680.2
Solyc04g078960.1,XM_004240410.1
Solyc07g054780.1,Solyc06g071830.2
Solyc05g012030.1,Solyc10g081560.1
Solyc08g079790.1,XM_004236298.1
Solyc06g068960.1,Solyc06g069730.2
Solyc06g066770.1,XM_004253066.1
Solyc03g112150.1,Solyc06g074800.1
Solyc10g055680.1,Solyc06g074670.2
Solyc04g005480.1,Solyc04g080040.2
Solyc05g056470.1,Solyc11g044240.1
Solyc06g060640.1,Solyc01g095070.2
Solyc10g083940.1,XM_004229236.1
Solyc12g008380.1,Solyc10g079200.1
Solyc08g065140.1,Solyc06g035700.1
Solyc05g015470.1,Solyc07g043130.2
Solyc10g006870.1,Solyc06g063280.1
Solyc03g026230.1,Solyc02g076640.1
Solyc02g091500.1,XR_183158.1
Solyc10g049870.1,Solyc07g005370.2
Solyc06g073290.1,Solyc01g095980.2
Solyc10g085310.1,Solyc01g010000.2
Solyc09g031920.1,Solyc01g079150.2
Solyc02g092720.1,Solyc09g075580.1
Solyc04g010190.1,Solyc07g006710.1
Solyc08g007820.1,Solyc01g005120.2
Solyc03g080120.1,Solyc07g039310.1
Solyc02g069500.1,Solyc09g014350.2
Solyc02g076650.1,Solyc09g009420.1
Solyc04g071480.1,Solyc03g120920.1
Solyc10g086170.1,Solyc02g084420.2
Solyc05g008370.1,Solyc12g009200.1
Solyc03g093610.1,Solyc09g091580.2
Solyc06g076790.1,Solyc03g111950.2
Solyc11g011720.1,Solyc01g057770.2
Solyc06g081980.1,XM_004234086.1
Solyc11g073230.1,Solyc06g064610.1
Solyc08g081220.1,Solyc08g076150.2
Solyc11g021310.1,Solyc05g011890.1
Solyc08g067370.1,Solyc02g073580.1
Solyc03g093180.1,Solyc02g072260.2
Solyc01g100770.2,Solyc03g111970.2
Solyc10g054010.1,Solyc12g087840.1
Solyc02g093620.1,Solyc05g051580.2
Solyc12g096770.1,Solyc07g005510.2
Solyc10g078580.1,Solyc03g033360.1
Solyc12g056980.1,Solyc02g014460.2
Solyc02g083820.1,Solyc12g011280.1
Solyc10g079480.1,Solyc06g066530.1
Solyc07g066110.1,Solyc04g040160.2
Solyc10g075160.1,Solyc07g056240.2
Solyc09g007470.1,Solyc02g089540.2
Solyc02g090100.1,Solyc01g068560.2
Solyc07g042400.2,Solyc04g081530.1
Solyc03g121620.1,Solyc01g094210.2
Solyc07g021380.1,Solyc01g073680.2
Solyc10g085040.1,Solyc08g082590.2
