name,SPOT_ID
,Solyc09g005730.2
,Solyc03g098480.1
,Solyc02g091950.2
,Solyc12g042770.1
,Solyc04g077780.2
,Solyc08g062380.1
,Solyc04g080960.2
,Solyc09g082780.2
,Solyc01g087790.2
,Solyc05g006910.2
,Solyc09g011170.2
,Solyc08g005350.2
,Solyc04g007630.1
,Solyc03g096840.2
,Solyc12g005030.1
,Solyc04g076710.2
,Solyc03g083250.2
,Solyc05g006340.2
,Solyc03g111260.2
,Solyc08g008170.2
,Solyc01g109630.2
,Solyc12g056410.1
,Solyc12g021160.1
,Solyc12g006290.1
,Solyc01g096810.2
,Solyc07g018400.2
,Solyc12g010570.1
,Solyc10g012030.2
,Solyc07g005310.1
,Solyc12g042480.1
,Solyc03g114150.2
,Solyc01g008790.2
,Solyc12g098380.1
,Solyc03g096830.2
,Solyc05g005280.2
,XM_004237817.1
,Solyc10g007030.1
,Solyc07g066000.2
,Solyc03g111000.2
,Solyc07g054430.2
,Solyc01g096800.2
,Solyc12g015970.1
,Solyc10g049600.1
,XM_004230192.1
,Solyc02g063220.2
,Solyc12g056250.1
,Solyc08g006770.2
,Solyc10g005790.2
,Solyc11g027840.1
,Solyc01g109880.2
,Solyc03g006080.2
,Solyc05g052760.2
,Solyc09g011650.2
,Solyc09g010220.2
,Solyc02g081880.2
,XM_004235263.1
,Solyc04g079830.2
,Solyc06g050800.2
,Solyc06g069690.2
,Solyc01g096320.2
,XM_004238947.1
,Solyc11g011880.1
,Solyc07g014590.2
,Solyc12g005030.1
,Solyc09g089540.2
,Solyc08g048390.1
,Solyc05g051530.2
,Solyc08g048400.2
,Solyc08g082930.1
,Solyc11g006550.1
,Solyc01g080020.2
,Solyc02g088600.2
,Solyc06g071370.1
,Solyc09g074560.2
,Solyc07g065220.1
,Solyc08g082370.1
,Solyc01g103430.2
,Solyc06g068540.2
,Solyc11g010270.1
,XM_004249486.1
,Solyc12g088050.1
,XR_183391.1
,Solyc03g123610.2
,Solyc07g042190.2
,Solyc11g065020.1
,Solyc01g097520.2
,Solyc01g086860.2
,Solyc03g062650.2
,Solyc09g007440.2
,Solyc08g076160.2
,Solyc06g068500.2
,Solyc07g007050.1
,Solyc07g008770.2
,Solyc05g018230.2
,Solyc10g079930.1
,Solyc05g051460.2
,XR_182542.1
,Solyc03g096670.2
,Solyc04g049670.2
,Solyc08g023270.2
,Solyc08g078040.2
,Solyc01g014920.1
,Solyc04g082700.2
,Solyc01g102300.2
,Solyc12g055740.1
,Solyc05g026490.2
,Solyc09g066150.1
,Solyc03g121880.2
,Solyc06g065020.2
,XM_004251507.1
,XM_004233597.1
,Solyc02g078650.2
,Solyc05g008120.2
,Solyc11g020280.1
,Solyc08g082310.2
,Solyc06g076950.2
,Solyc02g062140.2
,Solyc02g069100.2
,Solyc03g007860.1
,Solyc05g009520.1
,Solyc09g090350.2
,Solyc04g016200.1
,NM_001247898.1
,Solyc03g044630.1
,XM_004236574.1
,Solyc10g075070.1
,Solyc02g079560.1
,XM_004245609.1
,Solyc02g076690.2
,Solyc09g082120.2
,Solyc04g082740.2
,Solyc07g008540.2
,Solyc03g093480.2
,Solyc04g082050.2
,Solyc02g090430.2
,XM_004243397.1
,Solyc11g008020.1
,Solyc12g094380.1
,XM_004238770.1
,Solyc12g005860.1
,Solyc03g062710.2
,Solyc06g050440.2
,Solyc08g082660.2
,Solyc01g014180.2
,Solyc08g065940.2
,Solyc07g053890.2
,Solyc01g056760.2
,Solyc06g082600.2
,Solyc04g054990.2
,Solyc06g071000.2
,Solyc10g076760.1
,Solyc04g078200.2
,XM_004229849.1
,Solyc12g036120.1
,Solyc02g064770.2
,Solyc10g024410.1
,Solyc06g076350.2
,XM_004249277.1
,Solyc01g105350.1
,Solyc03g025430.1
,Solyc11g064920.1
,Solyc02g068040.2
,Solyc03g006700.2
,Solyc08g005490.2
,XM_004232483.1
,Solyc01g103540.2
,Solyc05g054560.2
,Solyc01g006150.2
,XM_004251063.1
,Solyc07g007760.2
,Solyc01g099980.2
,Solyc12g056650.1
,Solyc04g015620.2
,Solyc04g072260.1
,Solyc01g103970.2
,Solyc03g078490.2
,Solyc07g007180.2
,Solyc02g070010.1
,Solyc02g085580.2
,Solyc01g068460.2
,Solyc07g044760.2
,Solyc09g009890.2
,Solyc04g071780.2
,Solyc06g005900.2
,Solyc09g009080.2
,Solyc05g026460.1
,XM_004249924.1
,Solyc01g014250.2
,Solyc11g067120.1
,Solyc02g070100.2
,XM_004243232.1
,Solyc06g031690.2
,Solyc07g065230.1
,Solyc03g063750.2
,Solyc07g008910.2
,Solyc12g096830.1
,Solyc01g091690.2
,XM_004251701.1
,Solyc08g067610.2
,Solyc02g055330.1
,Solyc11g069800.1
,Solyc11g072480.1
,Solyc07g062270.2
,Solyc11g067140.1
,Solyc06g082070.2
,Solyc01g110020.2
,Solyc08g077370.2
,Solyc08g015870.2
,Solyc12g070090.1
,Solyc02g093080.2
,Solyc07g053960.2
,XM_004242693.1
,Solyc03g113060.2
,Solyc07g066030.2
,XM_004252161.1
,Solyc01g094080.2
,Solyc10g054470.1
,Solyc02g085670.2
,Solyc01g096080.2
,Solyc03g112230.2
,Solyc05g015610.2
,XM_004231312.1
,Solyc03g031970.2
,Solyc04g051660.2
,XM_004233186.1
,Solyc10g079860.1
,Solyc04g074850.2
,Solyc08g082080.2
,Solyc03g112160.2
,Solyc06g069430.2
,Solyc01g068380.2
,XM_004244212.1
,Solyc03g117490.2
,Solyc11g020960.1
,Solyc09g010390.2
,Solyc06g073740.2
,Solyc04g050920.2
,Solyc03g007930.2
,Solyc03g119970.2
,Solyc11g012840.1
,Solyc01g109090.2
,Solyc03g082540.2
,Solyc02g070070.1
