name,SPOT_ID
Solyc01g100090.1,Solyc01g100090.1
None,Solyc09g090990.2
Solyc07g062480.1,Solyc09g082280.2
Solyc12g094620.2,Solyc07g009500.1
Solyc06g069070.1,Solyc07g006140.2
Solyc11g073150.1,Solyc07g009510.1
Solyc04g040130.1,Solyc11g044910.1
Solyc03g019690.1,Solyc04g072280.2
Solyc02g089460.1,Solyc07g062480.1
Solyc03g098740.1,Solyc10g051020.1
Solyc05g014300.1,Solyc01g097470.2
Solyc07g054780.1,Solyc02g086880.2
Solyc04g071070.2,Solyc06g050440.2
Solyc09g064820.1,Solyc08g078040.2
Solyc08g068280.1,Solyc00g048510.2
Solyc11g071470.1,Solyc04g071900.2
NCED1,Solyc07g007760.2
Solyc08g068730.1,Solyc06g035960.2
PTI5,Solyc01g090810.2
Solyc11g069330.1,Solyc02g087070.2
Solyc01g096510.2,Solyc03g078490.2
Solyc02g070020.1,Solyc01g105660.2
Solyc09g074290.1,Solyc08g075320.2
Solyc06g008620.1,Solyc11g009100.1
Solyc02g077710.1,Solyc02g093580.2
Solyc10g009410.1,NM_001247898.1
ODC,Solyc08g068150.2
Solyc01g105770.2,Solyc05g041200.2
Solyc09g083020.1,Solyc02g084790.2
Solyc03g006970.1,Solyc06g069070.1
Solyc01g105750.1,Solyc09g090980.2
Solyc09g061410.1,Solyc09g007860.2
Solyc07g062630.1,Solyc02g084850.2
Solyc07g040890.1,Solyc05g047530.2
Solyc07g054760.1,Solyc02g082920.2
Solyc02g088090.1,Solyc11g073150.1
psaD,Solyc02g082450.2
Solyc03g110890.1,Solyc03g119060.2
Solyc10g084640.1,Solyc02g079540.1
Solyc01g109810.2,Solyc02g014730.2
Solyc07g017980.1,Solyc10g055820.1
Solyc03g123680.1,Solyc03g118190.2
Solyc02g082740.1,Solyc04g040130.1
Solyc07g066360.1,Solyc01g095320.2
Solyc03g114160.1,Solyc05g054470.2
Solyc04g054150.1,Solyc02g077420.2
Solyc07g017570.2,Solyc12g009300.1
Solyc03g071850.1,Solyc11g056650.1
Solyc06g081980.1,Solyc08g083210.2
Solyc04g014330.1,Solyc03g120020.2
Solyc08g074970.1,Solyc12g014010.1
Solyc02g093890.1,Solyc03g019690.1
Solyc12g097060.1,Solyc06g074390.2
Solyc12g096570.1,Solyc02g089460.1
Solyc06g033920.1,Solyc03g082550.2
Solyc11g064840.1,Solyc05g046290.2
Solyc11g071350.1,Solyc04g079760.2
Solyc12g049030.1,Solyc03g098740.1
Solyc12g038080.1,Solyc09g008780.2
Solyc08g078180.1,Solyc12g013620.1
Solyc07g065410.1,Solyc04g054950.2
Solyc03g082730.1,Solyc03g097620.1
Solyc03g114800.1,Solyc05g006980.2
Solyc09g005970.1,Solyc05g012180.2
Solyc12g099150.1,Solyc08g080650.1
Solyc03g112700.1,Solyc06g076140.2
Solyc07g053640.1,Solyc01g008420.2
Solyc03g113690.1,Solyc06g076520.1
Solyc01g087810.2,Solyc01g008620.2
Solyc01g103070.2,Solyc02g092880.2
Solyc02g092890.1,Solyc05g014300.1
Solyc04g007810.1,Solyc01g006530.1
Solyc08g077080.1,Solyc07g054780.1
Solyc08g078550.1,Solyc09g010800.2
Solyc04g014320.1,Solyc04g071070.2
Solyc04g082150.1,Solyc04g054990.2
Solyc12g044983.1,Solyc11g066250.1
Solyc08g081230.1,Solyc11g007180.1
Solyc11g012170.1,Solyc09g064820.1
Solyc12g056990.1,Solyc02g079500.2
Solyc05g051660.1,Solyc05g006860.2
Solyc04g014290.1,Solyc08g068280.1
Solyc02g069800.1,Solyc08g008610.2
Solyc04g080540.2,Solyc01g097270.2
