,baseMean,log2FoldChange,lfcSE,pvalue,padj
101267521,11.2544101,-1.534239914,0.389644731,2.63E-05,0.000213035
101267907,10.90425411,-1.555477005,0.397310922,2.78E-05,0.000224337
101267163,24.52744807,-1.198843243,0.299514816,2.80E-05,0.000226059
101256404,32.88797439,-1.150943247,0.286471455,2.81E-05,0.000226149
101267710,11.10340664,-1.599258111,0.40871968,2.83E-05,0.000227807
543553,2.259329922,-6.257144009,2.707697574,2.87E-05,0.000230585
101259744,20.60356069,-1.494191282,0.381801508,2.92E-05,0.000233979
101261100,24.03065216,-1.154885553,0.288858459,2.95E-05,0.00023615
101262558,11.32238441,-1.47816673,0.377636005,3.02E-05,0.000240852
101267350,5.646265101,-3.080908563,0.827745766,3.03E-05,0.000241735
101257764,95.20222496,-1.131921778,0.282808489,3.13E-05,0.000249129
101262829,23.94270472,-1.526108835,0.392578729,3.20E-05,0.00025418
101248685,8.582340968,-1.938696997,0.507076114,3.20E-05,0.000254416
101252681,3.432668274,-3.328757013,0.880274042,3.22E-05,0.000255574
101266172,5.625036242,-2.250785091,0.598894023,3.23E-05,0.000256472
101258672,18.14560758,-1.321634065,0.33623675,3.26E-05,0.00025822
101268280,49.324367,-1.297100883,0.329035825,3.31E-05,0.000261742
101246550,23.33368616,-1.195011353,0.300828164,3.33E-05,0.000262754
101264685,16.5926493,-1.723967563,0.447607161,3.36E-05,0.000265121
101254767,59.46309028,-2.712850027,0.732903559,3.47E-05,0.00027326
101267534,130.8677755,-1.467082879,0.376060811,3.48E-05,0.000274135
101256078,22.69878216,-2.275262909,0.605455907,3.52E-05,0.000276457
101255495,41.51015409,-2.061474762,0.546873018,3.53E-05,0.000276758
101249445,266.952507,-3.521051111,0.962002022,3.55E-05,0.000278099
101266855,7.663410013,-2.673910153,0.732060401,3.55E-05,0.000278099
101244473,13.00890447,-2.140194327,0.573783706,3.58E-05,0.000279726
101257862,37.49596293,-1.074740198,0.269835736,3.64E-05,0.000284279
101262417,11.99391824,-1.600158359,0.417769706,3.65E-05,0.00028527
101256588,101.6795442,-2.077368856,0.550883443,3.66E-05,0.000285631
101248235,24.73920316,-1.621417545,0.423785484,3.76E-05,0.000292689
101246364,22.4120838,-1.088348356,0.274666425,3.78E-05,0.000294218
101259906,7.342642927,-2.050883984,0.545522661,3.83E-05,0.000297233
109120519,261.4836075,-1.430928104,0.367944733,3.83E-05,0.000297698
543617,4.999192278,-2.371568029,0.637917243,3.84E-05,0.000298009
101268403,111.0343819,-1.04577172,0.263320948,3.88E-05,0.000300758
101244752,20.44094324,-1.439277725,0.371810697,4.00E-05,0.000308104
101247174,23.7458982,-1.151493069,0.292976614,4.00E-05,0.000308104
101268006,10.72144501,-1.560978916,0.408401558,4.00E-05,0.000308104
101268888,140.6280977,-1.286334374,0.32914088,4.02E-05,0.000309654
101260696,5.214677473,-2.242157311,0.60677858,4.17E-05,0.000320264
101262675,4.980999833,-2.319113493,0.628617989,4.18E-05,0.000321032
101252344,36.4882901,-3.087852249,0.856131981,4.29E-05,0.000328671
101246684,10.86148146,-1.500273059,0.392505423,4.31E-05,0.000330045
101266283,3.864320327,-2.662893342,0.722852803,4.31E-05,0.000330087
101260851,8.396158663,-1.772169902,0.472468825,4.33E-05,0.000331129
101259451,5.420583156,-2.855552646,0.782969735,4.39E-05,0.00033475
101257526,3.868894511,-2.660665535,0.723480356,4.39E-05,0.000335176
101268114,560.1553385,-1.517866235,0.395555115,4.43E-05,0.00033713
101267682,5.907747322,-2.15170723,0.580448165,4.43E-05,0.000337141
101252498,4.128735947,-2.719225234,0.745923099,4.45E-05,0.000338431
101266350,5.856888991,-2.107679953,0.568821743,4.45E-05,0.000338692
101264948,4.603856949,-2.533875097,0.69264176,4.47E-05,0.000340082
101055600,12.57160598,-1.56159121,0.412120905,4.54E-05,0.000344935
101265975,14.41997498,-2.448998827,0.669000262,4.72E-05,0.000357309
101252165,25.51243491,-1.115026736,0.285804106,4.76E-05,0.000359976
101261322,20.19700286,-1.126659372,0.28931653,4.79E-05,0.000361787
101260269,13.24418519,-1.438090004,0.377950855,4.81E-05,0.000363356
778340,26.11213322,-1.080036201,0.276222009,4.82E-05,0.000363743
101263331,16.22074375,-1.925631064,0.521610558,4.83E-05,0.000364198
543991,11.77162118,-1.995357153,0.542035929,4.85E-05,0.000365381
101250417,7.183958943,-1.771453772,0.4742869,4.88E-05,0.000367474
101264486,26.24915563,-1.079207487,0.277017286,4.90E-05,0.000368531
101252340,27.31548187,-1.009669716,0.25761688,4.91E-05,0.00036892
101266909,10.23676838,-1.564643979,0.415435083,4.92E-05,0.000369536
101260755,25.74461217,-1.049517342,0.268778184,4.99E-05,0.000374639
101255349,6.959312914,-2.072138327,0.565273661,5.10E-05,0.000381587
101263391,28.42811683,-1.20818217,0.31259499,5.18E-05,0.00038629
101263732,357.6966612,-1.85676229,0.498340641,5.18E-05,0.000386308
101255049,12.02144966,-1.544338886,0.411426997,5.22E-05,0.000388438
101246236,23.1125105,-1.123454034,0.290063171,5.25E-05,0.000390933
100874539,11.43465911,-1.489107921,0.394629886,5.26E-05,0.000391159
101248520,304.1646766,-3.229577166,0.905379965,5.29E-05,0.000393507
101248058,5.333920705,-2.311956334,0.636956982,5.32E-05,0.000394957
101263804,15.51506546,-1.457752319,0.385908686,5.37E-05,0.000398596
101251973,16.44075421,-1.220729684,0.318209272,5.41E-05,0.000400867
101265674,4.697796856,-2.255772701,0.618992684,5.42E-05,0.000401328
101247015,30.54097033,-2.015545883,0.546861667,5.44E-05,0.00040258
101247705,3.472691915,-3.291886034,0.911483529,5.45E-05,0.000403485
101252225,10.45351096,-1.668874001,0.447630416,5.46E-05,0.000403525
100736549,7.820553535,-2.164657232,0.593028234,5.49E-05,0.000404933
101251683,49.65983933,-2.281459131,0.627776358,5.72E-05,0.000420101
101245743,59.00532954,-3.062178987,0.864791015,5.74E-05,0.000420962
101262946,5.882467915,-2.397237934,0.671368093,5.74E-05,0.000420962
101252000,38.53069768,-1.059408633,0.274706443,5.97E-05,0.000435536
101254214,32.785776,-2.123507125,0.583933294,6.06E-05,0.000441736
101266812,72.40665133,-2.07434301,0.568470566,6.08E-05,0.000442752
101265901,15.97280676,-1.2307898,0.323610425,6.12E-05,0.000445512
101255133,20.04411635,-1.160691763,0.303844552,6.15E-05,0.000447457
101248258,8.093592399,-1.90915601,0.523699217,6.19E-05,0.000449846
101261081,27.48901498,-1.617923234,0.436259719,6.21E-05,0.000451164
101248009,127.8065831,-2.832130192,0.798919851,6.24E-05,0.000452841
