EnsID,GSM2830490,GSM2830491,GSM2830492,GSM2830493,GSM2830494,GSM2830495,GSM2830496,GSM2830497,GSM2830498,GSM2830499,GSM2830500,GSM2830501,GSM2830502,GSM2830503,GSM2830504,GSM2830505,GSM2830506,GSM2830507,GSM2830508,GSM2830509,GSM2830510,GSM2830511,GSM2830512,GSM2830513,,,geneID,GSM412055,GSM412056,GSM412057,GSM412058,GSM412063,GSM412064,GSM412065,GSM412066,GSM412067,GSM412068,GSM412069,GSM412070
Solyc01g105660,2.162483333,2.799077083,2.404784167,5.225068333,5.484272083,5.377835833,1.869204167,1.49349625,1.832075,4.902763333,5.077322083,4.753391667,5.200006667,5.132344167,4.996727083,7.259900833,7.294750833,7.22597125,3.437619167,3.786200417,3.56841375,7.157674167,7.051445417,7.108735417,,,Solyc01g105660,455.0995,1185.324917,640.471,2445.049167,481.7705,1114.793167,635.7968333,1142.880917,788.79375,2632.916667,713.95825,2038.865833
Solyc02g061770,3.71609375,3.876865,4.36887625,3.078907083,3.248282917,3.206393333,1.957049167,2.226855417,1.649007708,3.22975,3.342654167,2.707814167,1.41259,1.48619375,1.435494167,1.542652083,1.552694167,1.64079125,1.437715,1.786044375,1.869585417,3.411248333,3.2647675,2.669065833,,,Solyc02g061770,434.561,936.3861667,124.6605167,461.9493333,471.4479167,898.4716667,329.5739167,1014.609833,127.0311417,404.2601667,92.18375833,407.0485
Solyc02g062040,4.019602083,4.3803475,4.242415833,4.464216667,4.77531125,4.534927917,4.42918125,4.375813333,4.31867625,5.71493375,5.462385,4.804721667,3.928919167,4.01056,3.721499583,4.771260833,4.79049625,4.853949167,3.078907083,3.477491667,3.846727083,5.032490833,4.586541667,4.27804,,,Solyc02g062040,272.51225,479.4178333,122.8045333,462.6165833,278.8896667,586.1625417,224.9135833,492.0560833,150.203875,375.74375,110.79815,356.1883333
Solyc02g084850,2.438649583,3.029306667,2.43842,7.7808425,7.879612083,7.747652917,1.826755417,2.35719125,1.781935833,7.47980125,7.566897083,6.712720417,3.244618333,2.943437917,3.2771175,9.025021667,9.04469,9.018355833,2.256068333,3.26896125,2.849592083,8.030115417,8.129555,8.146199167,,,Solyc02g084850,4467.420833,12677.73333,5324.95,12479.85833,3515.8775,12151.7825,4487.4125,12479.85833,7100.8,12479.85833,5095.343333,11337.16917
Solyc03g098100,1.281614167,1.314452083,1.338375417,2.14107625,2.680450417,2.75659,1.378000417,1.279201667,1.284940417,2.466712917,2.434652917,2.566109583,1.485099583,1.527987917,1.41016,1.80916625,1.84395625,1.442232708,1.544378542,1.503011667,1.559260417,3.418593958,2.83510375,4.029100417,,,Solyc03g098100,346.2084167,4552.865,384.1040833,5991.866667,396.2749167,4306.833333,136.0550833,4675.025,542.2070833,5982.6275,306.24025,6063.499167
Solyc03g098240,3.347038542,3.457045,3.12814375,3.273179583,3.52385125,3.624730417,1.822394583,1.873649167,1.811720833,4.291129167,4.51511,3.331841458,3.098323333,2.685489583,3.22528625,2.773582917,3.06165625,2.630407083,2.090454583,2.321295833,1.86449125,3.807711667,3.924992083,3.967829167,,,Solyc03g098240,701.2268333,3308.8225,2222.436667,7517.595,704.1461667,3639.128333,560.7875833,2757.853333,2360.769167,7531.076667,1810.296667,6615.83
Solyc03g121880,4.4597675,4.570777917,4.535508333,5.219920417,5.305147083,5.356815417,3.850784583,3.97729,3.777634167,5.744135833,5.817934792,4.851229167,5.435597083,5.702885833,5.676798333,6.52240375,6.363662917,6.257689583,4.341369583,4.62866875,4.731825208,5.952963333,5.923846667,5.995643333,,,Solyc03g121880,97.33195,244.2450833,143.5029167,278.6428333,122.1967,243.5894167,115.6720333,227.2151667,131.2924833,212.6924167,115.2116083,231.1140833
Solyc04g005250,2.401206667,2.844363333,2.844518333,3.3938175,3.333575833,3.568929167,2.4069325,2.500730417,2.524325417,4.33383,4.287842917,3.156220417,3.480654583,3.5673175,3.283889167,3.879669583,3.59399625,3.732549167,2.509440417,2.722407083,2.567741667,4.146494583,4.633005833,4.24348625,,,Solyc04g005250,57.93184167,238.3349167,83.21235833,322.2516667,76.26373333,256.438,89.85969167,216.3498333,86.90833333,325.4640833,89.08115,343.2933333
Solyc04g009860,7.317725,7.3671275,7.292739583,7.156609583,7.2464325,7.350650417,5.10523625,5.023992083,5.027427917,6.17914875,5.863099167,6.174005,2.6436075,2.775893333,2.397172083,5.252684167,5.591040833,5.601952083,1.841788333,3.075310833,1.925417917,5.101212917,5.109375833,4.935230833,,,Solyc04g009860,654.9715833,1770.9025,773.9085833,1415.805833,706.7030833,1592.141667,542.35425,1538.755833,838.1856667,1507.605,605.1735,1937.3
Solyc04g071780,2.96188625,3.86232375,3.6340675,2.185757083,2.434274583,2.432044583,1.2419675,1.035081917,1.513079583,3.164159583,3.37614625,2.288917917,1.136567917,1.164484167,1.333304167,7.068176667,6.986995417,7.119714583,1.578110833,1.3052525,1.364657917,4.228042917,4.631395,3.891878333,,,Solyc04g071780,809.767,1296.321667,140.2129167,853.8320833,473.2374167,968.082,392.34925,978.78975,135.011225,725.0236667,99.38903333,955.2683333
Solyc04g081900,3.761430417,3.994119583,3.679316667,6.018497083,5.928434167,6.013019583,3.17841625,3.23784125,3.367710833,6.24418125,6.251482917,5.155201667,4.961897917,5.056620833,5.137609167,6.969165833,6.71797,6.8199725,4.20802875,3.573591667,3.71270375,7.22810625,7.241146667,7.427917083,,,Solyc04g081900,1700.515833,8508.18,1754.1775,8103.4,2222.436667,8971.671667,1757.761667,8822.5775,1997.710833,7222.685833,1690.8825,6970.115
Solyc06g050130,6.149455417,5.969025417,6.16760375,7.113759167,7.113339167,7.15695125,5.82497625,5.808122083,5.79733375,7.154382917,7.14077625,7.242617917,5.077322083,5.312983333,5.07134375,5.429577917,5.492679167,5.410420833,4.479805417,4.376353333,3.122129583,7.315964583,7.315964583,7.22810625,,,Solyc06g050130,261.6969167,708.23625,420.2085,1389.125,262.0075833,1009.6835,239.1698333,759.364,409.2266667,1288.573333,462.0715833,1175.635
Solyc06g066600,4.295071667,4.512453333,4.514020833,5.910105833,6.078874583,5.9746475,3.960619375,3.768312917,3.413996667,6.269248333,6.20219125,5.45625375,4.746516667,4.586294167,4.558027917,5.00853,5.00497875,4.944356667,4.401308333,3.652882917,3.702771667,5.234174167,5.092105,5.136303333,,,Solyc06g066600,437.9234167,3006.3825,590.5485833,3287.966667,492.4650833,2931.4975,425.7285,2853.548333,750.9228333,3171.360833,595.0886667,2573.575833
Solyc06g068620,3.977478333,3.763372917,3.725784583,4.812092917,4.8783875,4.756742917,2.158181667,2.313844167,2.642149167,3.299951667,3.291969167,4.079305833,2.7204425,2.80216375,2.59145625,5.115010417,5.12829375,5.475038333,1.969516875,2.011770417,2.031446458,5.684775833,5.774165,5.779495417,,,Solyc06g068620,1209.583083,3882.636667,557.201,1059.31975,971.9375,4487.4125,1211.4115,3814.510833,549.0118333,997.3959167,372.487,1172.016417
Solyc06g074940,4.102496667,4.802549167,4.4683975,4.843783333,4.92412875,5.330641667,3.2440325,3.421692083,2.960389583,5.366633333,5.293905833,3.963761667,3.094716667,2.889857917,4.076769583,4.752357083,4.607577917,4.680097917,2.476643333,3.832817083,3.024690417,4.560592917,4.5923475,4.6073675,,,Solyc06g074940,358.73425,3069.560833,397.97875,2764.655,386.28,3033.513333,373.5671667,2996.975833,408.8636667,2830.3375,331.5223333,2401.293333
Solyc07g063870,7.035959583,6.693889583,7.045416667,7.292215417,7.313797917,7.25526375,6.226563333,6.354582917,6.405283333,7.45239875,7.456149167,7.501710833,6.866444167,6.89305875,6.886719583,7.597642083,7.715727917,7.536104583,6.872367917,7.05284,7.117420833,8.362913333,8.39207625,8.43057625,,,Solyc07g063870,11.26588667,54.76956667,16.58824167,48.46168333,4.549405833,47.419725,1.6744675,50.85340833,12.86233667,42.97175,7.618819167,54.18415
Solyc08g068730,10.74464167,10.93525833,10.92326667,10.3497875,10.31252292,10.3497875,7.990639167,7.705484167,7.765998125,10.17020458,10.14949042,9.714614167,1.480407083,2.358135833,2.098040833,4.196570417,3.716786875,3.59128875,2.702540417,4.6299375,4.651938333,5.975407917,5.94129875,5.91927375,,,Solyc08g068730,1655.3675,5095.343333,2485.3875,5129.809167,2104.540833,4986.1425,1587.04,5067.719167,2047.335,4642.239167,1847.701667,5548.770833
Solyc08g078040,6.443211667,6.413905,6.513905417,6.165738333,6.164905417,6.366197917,3.917080417,4.144568333,3.93192625,6.887732917,6.92860625,6.74787375,3.040097083,3.154870833,3.110805833,6.769331667,6.990842083,6.83325,2.3326875,2.860697083,3.636395,6.64013,6.802249167,6.81862,,,Solyc08g078040,41.25941667,272.1431667,46.268225,244.1221667,55.38593333,190.2195,35.99035,219.6633333,82.79415,230.84475,37.31135833,362.31625
Solyc08g083110,4.49724625,4.62388375,4.5501225,5.363077917,5.41710875,5.440344167,3.4229275,4.05221125,3.65017875,5.89160875,6.08731125,5.813037083,5.66204875,5.67869375,5.836195417,5.661010417,5.67869375,5.634557917,3.6248875,2.684639583,2.82572,4.211870417,4.491655833,4.29532,,,Solyc08g083110,80.11129167,1002.986333,136.3065,1547.2875,83.287175,956.0285833,115.2116083,834.2435,171.6638333,1844.51,144.97525,1247.40725
Solyc09g008350,7.50130875,7.749645,7.55157125,7.696150833,7.6809,7.786885,5.881488333,5.672167917,5.95266125,7.006073333,7.036828333,7.404727083,6.191934583,6.214090833,6.20187125,7.6745025,7.531183333,7.628672917,5.614942083,5.223647917,5.024718333,7.267689167,7.231294583,7.20255625,,,Solyc09g008350,563.66075,1425.840833,347.9685833,684.1780833,624.0261667,1415.805833,592.6904167,1273.969167,342.86225,710.6679167,360.1519167,766.133
Solyc09g064820,2.506174792,2.51052,1.984259583,5.826135417,6.216209167,5.900943333,2.17284625,1.959275833,2.051836667,4.124582917,4.12740875,3.726483333,1.643001667,2.110033333,3.070757083,3.374930417,3.5832225,3.41002,2.009603958,2.152696667,3.02512,3.371582917,3.678285833,3.922382083,,,Solyc09g064820,159.7545,5436.026667,434.7065833,3789.976667,143.5029167,6277.219167,180.5249167,5395.970833,481.6725833,3556.796667,318.9141667,3639.128333
Solyc09g075820,7.463875,7.605979167,7.641270833,7.51774875,7.426937917,7.45866875,4.926514167,4.626736667,4.84466,7.031329583,7.112375417,7.567827917,4.259924583,4.492490417,4.487523333,7.009351667,7.113339167,7.17094625,3.889354167,4.832975417,4.58791625,7.884775833,7.971317083,7.988357083,,,Solyc09g075820,2184.0775,6063.499167,1124.440167,2853.548333,2445.819167,5362.205833,1886.185833,5815.956667,1208.527417,2790.870833,1075.870833,3762.621667
Solyc12g008840,6.605968333,6.786605,6.7809425,7.32175125,7.459170417,7.350252083,6.24899625,6.02071875,6.19009625,7.519496667,7.541536667,7.777742917,4.405679167,4.67297625,4.222214167,4.02216875,4.24152375,4.331441667,4.05221125,4.215745833,4.070369167,4.81696625,4.865925417,5.033982083,,,Solyc12g008840,433.7169167,1415.805833,831.5978333,5120.879167,421.7490833,1842.0475,259.2451667,1264.48075,868.3951667,4133.978333,769.7344167,4306.833333
Solyc12g013620,7.32441375,7.426377083,7.511977083,7.144285833,7.392227083,7.254630833,3.631260417,3.423186667,3.557119583,7.4092425,7.418238333,6.584795,6.200378333,6.304618333,6.44890625,7.229200417,7.277294583,7.176122917,4.623667917,5.692785417,5.5483975,7.152560833,7.12661625,7.163071667,,,Solyc12g013620,1289.7225,6742.938333,1968.9775,6125.293333,1284.083333,6907.383333,904.91575,7011.185,1869.550833,5468.209167,1412.776667,5877.405
Solyc12g014100,5.822005,5.953465417,5.79424125,6.026039583,6.227233333,6.14003875,5.313262083,5.531164167,5.537227917,6.855969583,6.898309167,6.191433333,5.030849167,4.942331667,5.264831667,6.356632917,6.34208625,6.443211667,4.062346667,4.111787708,4.242647083,6.538552083,6.587622917,6.514752083,,,Solyc12g014100,721.53325,2432.109167,797.9436667,2229.695833,857.3375833,2553.043333,733.8425833,2195.604167,694.8196667,2223.925,702.4013333,1804.761667
