EnsID,Solyc01g105660,Solyc02g061770,Solyc02g062040,Solyc02g084850,Solyc03g098100,Solyc03g098240,Solyc03g121880,Solyc04g071780,Solyc04g081900,Solyc04g005250,Solyc04g009860,Solyc06g074940,Solyc06g050130,Solyc06g066600,Solyc06g068620,Solyc07g063870,Solyc08g078040,Solyc08g083110,Solyc08g068730,Solyc09g008350,Solyc09g064820,Solyc09g075820,Solyc12g008840,Solyc12g014100,Solyc12g019740,Solyc12g013620,condition
GSM2830490,2.162483333,3.71609375,4.019602083,2.438649583,1.281614167,3.347038542,4.4597675,2.96188625,3.761430417,2.401206667,7.317725,4.102496667,6.149455417,4.295071667,3.977478333,7.035959583,6.443211667,4.49724625,10.74464167,7.50130875,2.506174792,7.463875,6.605968333,5.822005,6.341160833,7.32441375,0
GSM2830491,2.799077083,3.876865,4.3803475,3.029306667,1.314452083,3.457045,4.570777917,3.86232375,3.994119583,2.844363333,7.3671275,4.802549167,5.969025417,4.512453333,3.763372917,6.693889583,6.413905,4.62388375,10.93525833,7.749645,2.51052,7.605979167,6.786605,5.953465417,6.392870417,7.426377083,0
GSM2830492,2.404784167,4.36887625,4.242415833,2.43842,1.338375417,3.12814375,4.535508333,3.6340675,3.679316667,2.844518333,7.292739583,4.4683975,6.16760375,4.514020833,3.725784583,7.045416667,6.513905417,4.5501225,10.92326667,7.55157125,1.984259583,7.641270833,6.7809425,5.79424125,6.366657083,7.511977083,0
GSM2830493,5.225068333,3.078907083,4.464216667,7.7808425,2.14107625,3.273179583,5.219920417,2.185757083,6.018497083,3.3938175,7.156609583,4.843783333,7.113759167,5.910105833,4.812092917,7.292215417,6.165738333,5.363077917,10.3497875,7.696150833,5.826135417,7.51774875,7.32175125,6.026039583,6.932643333,7.144285833,1
GSM2830494,5.484272083,3.248282917,4.77531125,7.879612083,2.680450417,3.52385125,5.305147083,2.434274583,5.928434167,3.333575833,7.2464325,4.92412875,7.113339167,6.078874583,4.8783875,7.313797917,6.164905417,5.41710875,10.31252292,7.6809,6.216209167,7.426937917,7.459170417,6.227233333,6.900799583,7.392227083,1
GSM2830495,5.377835833,3.206393333,4.534927917,7.747652917,2.75659,3.624730417,5.356815417,2.432044583,6.013019583,3.568929167,7.350650417,5.330641667,7.15695125,5.9746475,4.756742917,7.25526375,6.366197917,5.440344167,10.3497875,7.786885,5.900943333,7.45866875,7.350252083,6.14003875,6.84387875,7.254630833,1
GSM2830496,1.869204167,1.957049167,4.42918125,1.826755417,1.378000417,1.822394583,3.850784583,1.2419675,3.17841625,2.4069325,5.10523625,3.2440325,5.82497625,3.960619375,2.158181667,6.226563333,3.917080417,3.4229275,7.990639167,5.881488333,2.17284625,4.926514167,6.24899625,5.313262083,5.699740417,3.631260417,0
GSM2830497,1.49349625,2.226855417,4.375813333,2.35719125,1.279201667,1.873649167,3.97729,1.035081917,3.23784125,2.500730417,5.023992083,3.421692083,5.808122083,3.768312917,2.313844167,6.354582917,4.144568333,4.05221125,7.705484167,5.672167917,1.959275833,4.626736667,6.02071875,5.531164167,5.661302917,3.423186667,0
GSM2830498,1.832075,1.649007708,4.31867625,1.781935833,1.284940417,1.811720833,3.777634167,1.513079583,3.367710833,2.524325417,5.027427917,2.960389583,5.79733375,3.413996667,2.642149167,6.405283333,3.93192625,3.65017875,7.765998125,5.95266125,2.051836667,4.84466,6.19009625,5.537227917,5.836988333,3.557119583,0
GSM2830499,4.902763333,3.22975,5.71493375,7.47980125,2.466712917,4.291129167,5.744135833,3.164159583,6.24418125,4.33383,6.17914875,5.366633333,7.154382917,6.269248333,3.299951667,7.45239875,6.887732917,5.89160875,10.17020458,7.006073333,4.124582917,7.031329583,7.519496667,6.855969583,6.947080833,7.4092425,1
