Transcript ID,0h,0h,0h,6h,6h,6h,12h,12h,12h,24h,24h,24h,48h,48h,48h,96h,96h,96h
Solyc04g054310.3.1,-0.140241694,0.424184597,-0.715200999,1.516901728,1.74593017,1.627702037,-0.447967132,-0.468522543,0.990059326,-1.300128221,-1.334125221,-1.04484218,-0.475262759,-0.795127682,-1.30030426,-0.191325131,0.477288161,-0.162668457
Solyc04g009200.3.1,2.756299587,0.995413638,1.649071626,-0.096866383,-0.139496318,-0.268221948,-0.727314195,-0.116640904,-0.38640447,-1.262912432,-1.323755242,-1.372732066,0.036856975,-1.146983827,-0.618277823,-0.479144054,1.284958392,-0.275810564
Solyc07g043310.3.1,-0.984230844,-0.502629691,-1.006544068,-0.823743579,0.030392648,-0.463864533,-0.135124812,-0.665103248,-0.291264053,0.111641967,0.958672279,2.42456567,0.044778985,0.515085941,-0.947233072,2.260163397,-0.396817629,1.707135559
Solyc07g006810.3.1,0.381686033,-0.727593128,-0.736680029,1.371974537,0.203730781,3.1158388,-0.789850688,1.284345855,-1.827065132,0.223465061,-0.038642498,-0.957638593,-0.877534775,-0.012452983,0.222107849,-0.856994155,0.504650301,-1.863761754
Solyc08g080370.3.1,-0.064634799,-0.963634583,-0.586559726,0.514540774,-0.161174197,0.816566249,-1.119965711,0.342118716,0.943220857,-1.022514255,-1.248657505,-0.343753084,0.573801045,-0.278452278,0.097898566,0.216918501,0.002072401,-0.231042225
Solyc10g076250.2.1,-0.966621535,-0.966993996,-0.967294684,2.255051593,2.386959893,2.10786183,0.464842988,-0.617134893,1.206583644,-0.61637105,-0.978212207,1.456983482,-0.442948682,-0.63588756,0.092593914,0.798877477,-0.222988787,-0.070533191
Solyc12g006470.2.1,0.378457751,-0.500701692,-0.254920641,1.298024408,-0.357359224,0.039056869,-0.491772691,-0.477052174,0.614983752,0.037890038,-0.790041432,-0.714226332,-0.301692662,-0.649099995,-0.381359368,-0.654658213,-0.394130151,-0.67758804
Solyc12g006450.2.1,0.58716738,0.111349126,-0.080558695,0.820529735,0.958322314,2.4464843,0.358779733,0.87251344,-0.078494962,-1.141786266,-1.289696579,-0.902048762,-1.058545544,-1.28408877,-1.325630991,-0.502748556,1.413253045,0.086264505
Solyc06g019170.3.1,-0.64097376,-0.611898322,-0.641963666,-0.571548542,-0.330485698,-0.628108438,-0.600621197,-0.763482322,-0.626947458,-0.517019711,-0.769179166,-0.61014677,0.690961407,-0.126701506,1.249763579,0.971898599,0.936391617,0.95560411
Solyc02g068640.3.1,1.116459076,-1.016212039,-0.273130492,-1.420696481,-1.696660373,-2.23548693,0.432307232,0.745416567,1.351468707,0.629979634,-0.256913177,-0.299540442,-0.366211249,-1.300074424,0.018656314,0.500655947,-0.574289931,-0.05310037
Solyc02g089620.3.1,2.287732094,2.62646234,2.276199648,-0.654163856,-0.656410778,-0.82465036,-0.483460669,-0.656135176,0.382219473,-0.318377797,-0.662772027,-0.328719165,-0.656817107,-0.662084666,-0.65592846,0.186230691,-0.120100697,0.20114135
Solyc02g089630.3.1,-0.373076218,1.911691925,-0.373076218,-0.373076218,-0.373076218,-0.373076218,-0.373076218,-0.373076218,-0.373076218,1.861402001,-0.373076218,1.815759469,-0.373076218,-0.373076218,-0.373076218,-0.373076218,-0.373076218,1.890634478
Solyc06g066330.3.1,-1.462044417,-0.743786698,-0.74858128,-0.064405273,-0.111459005,0.464351752,2.081362456,0.600101905,-0.024125027,0.606191777,1.789304625,1.211933477,-0.822901413,0.450593006,-0.101358572,-0.106420636,-0.683780639,-0.770430047
Solyc08g005270.3.1,-0.768917335,0.062110775,-0.11583507,0.489351769,-0.005291135,1.16708347,-0.421792415,-0.242173977,-2.045093744,-0.398628963,2.455632525,-0.188774074,1.208255075,1.143318074,1.328248953,-0.982880432,-1.188330433,-0.910159346
Solyc08g076420.3.1,-1.360554351,-1.010522086,-1.472192894,-0.545681349,-0.592656175,-0.555741312,2.922626066,-0.090693046,-1.013138375,0.908916694,1.133322874,0.563017102,-1.04592502,0.102484491,-0.135443677,-0.637236078,-0.116354454,0.169110268
