,baseMean,log2FoldChange,lfcSE,pvalue,padj
3950390,83.19488845,-1.733490497,0.506474547,0.000112265,0.001705082
101265331,4.034246603,-1.840598108,0.563073875,0.000112936,0.001712576
101256280,1.674892041,-2.20181432,0.695045676,0.000113476,0.001718068
109120800,2.345758727,-2.157164959,0.67158107,0.000113604,0.001718665
101248254,366.3854064,-3.825593575,1.077821205,0.000114063,0.001722907
544175,4.963130775,-1.465655871,0.444185805,0.000114022,0.001722907
101250277,14.29904845,-1.56760604,0.464782194,0.000118852,0.001785921
101266674,6.44831377,-2.062805891,0.622906188,0.000118975,0.001785921
101261166,6.10091792,-2.522281436,0.756178337,0.000118933,0.001785921
101253390,38.56921041,-1.410579263,0.411916104,0.000119839,0.001796097
101261571,18.39328171,-1.305944763,0.382457803,0.000120334,0.001802109
101252946,224.1333051,-1.088650957,0.310344551,0.000123205,0.001842252
101256941,43.91885417,-2.041815046,0.603626591,0.000123326,0.001842642
101247149,137.4032089,-1.267595843,0.366829198,0.00012518,0.001866009
101247282,9.738088805,-1.292988083,0.38442093,0.000125521,0.001869637
101249341,66.62355457,-1.092875972,0.313393848,0.000126953,0.001888066
101266928,23.18731894,-1.958332508,0.583228216,0.000128143,0.00190136
101250896,5.399622495,-1.301498051,0.395142477,0.000128905,0.001909731
101263269,1.523120904,-4.136819266,1.303620835,0.000130577,0.001930056
101251800,9.465690542,-1.189293194,0.353118827,0.000130993,0.001934724
101253089,217.1511828,-1.018498209,0.290471713,0.000133967,0.001974126
101263571,17.77383336,-2.322172922,0.69432022,0.000135245,0.0019884
104644774,2.283919579,-1.858218771,0.59154047,0.00013523,0.0019884
101244578,20.42761586,-1.625636701,0.48615234,0.000138266,0.002028186
543954,20.98382622,-2.389664561,0.714277525,0.000139279,0.002038389
101257137,0.845021103,-3.181744089,1.099552427,0.000139517,0.002040324
101256613,8.723961295,-1.529775636,0.463685902,0.00013988,0.002042544
104646068,0.841647244,-3.184383647,1.099931951,0.000140583,0.002051257
101254657,2.301611185,-2.207345245,0.700749142,0.000141721,0.00206163
101257470,33.77893862,-1.178510841,0.34470358,0.000142004,0.002064185
100527968,28.74259989,-1.350014125,0.399720801,0.00014316,0.002074663
101267512,32.72557478,-2.759589305,0.818683412,0.000143111,0.002074663
101251765,11.21305489,-2.18310604,0.660928507,0.000143147,0.002074663
101254727,4.185220303,-1.48241422,0.461284779,0.000143533,0.002077032
101249394,13.12025034,-1.21836569,0.362458889,0.000144475,0.002087536
104645397,10.0390175,-1.016231385,0.300069485,0.000146133,0.002108339
101250847,1.233516519,-2.937595816,0.953267695,0.000146568,0.002113034
101260301,16.96734264,-3.081802691,0.913527525,0.000148025,0.002129269
101255302,5.961454014,-1.273023226,0.389451186,0.000150037,0.002151799
novel.902,2.137215273,-2.54190373,0.806507051,0.000150621,0.002158569
101257662,20.31054281,-1.623500781,0.489503724,0.000152135,0.002177037
101263191,3.326438908,-3.448351839,1.049457314,0.000152651,0.002182795
101263792,7.839036113,-1.091254563,0.328157125,0.000155991,0.002223967
101259178,26.00120551,-1.695867449,0.511954404,0.000156131,0.002224312
101252704,12.25520589,-1.197867301,0.359238302,0.000158839,0.002249612
101259227,75.78703349,-1.682967312,0.506098605,0.00016,0.002261087
101250428,2.851767389,-1.696130158,0.543961795,0.000162655,0.002292142
101244257,23.48928923,-1.194888829,0.355241521,0.000163921,0.002308052
101250947,10.76932998,-1.017109896,0.302623989,0.000164745,0.002317955
101259569,2.951736235,-1.617949732,0.519081698,0.00016699,0.002347833
112941740,1.229643033,-2.462311202,0.8095921,0.000168212,0.002358141
101262838,9.845514565,-1.082493895,0.325670259,0.0001713,0.002394482
112942248,2.403570973,-1.966708924,0.637063478,0.000171899,0.002401115
101246479,1.800617921,-2.970493034,0.948582514,0.000172697,0.00240878
101267952,11.69034581,-1.205009996,0.364453953,0.000173033,0.002411718
101265674,4.676722945,-1.328295258,0.416540776,0.000174847,0.00243349
101258426,76.66679305,-1.323627735,0.396223498,0.000178056,0.002472807
101268345,49.70887356,-1.13815414,0.337296356,0.000179246,0.002487541
