GeneID,GSM4462432,GSM4462433,GSM4462434,GSM4462435,GSM4462436,GSM4462437,GSM4462438,GSM4462439,GSM4462440
100037489,52.37543608,31.02395348,40.98710938,54.94863991,43.59796928,48.80590952,122.1967433,143.1189819,194.3648044
100037490,21.13394789,29.14371388,24.59226563,28.66885561,30.27636755,30.64557109,16.23593093,15.9021091,15.22673582
100037491,16.53961139,22.56287526,18.21649306,17.91803475,12.11054702,18.16033843,3.418090722,4.677090912,3.582761371
100037492,41.34902849,37.6047921,41.89793403,32.25246256,31.48742226,32.9156134,41.87161134,41.15840002,35.82761371
100037494,209.5017443,207.7664764,210.4004948,97.95192332,67.81906332,101.0168825,43.5806567,29.93338184,11.64397445
100037495,36.75469199,34.78443269,31.87886285,44.19781906,46.02007868,44.26582491,25.63568041,27.12712729,25.97501994
100037497,17.45847869,27.26347427,19.12731771,50.17049731,48.44218809,53.34599412,14.52688557,15.9021091,12.5396648
100037498,139.6678296,122.2155743,116.5855556,119.453565,107.7838685,113.5021152,21.36306701,26.19170911,26.87071028
100037499,68.91504748,66.74850598,63.7577257,131.3989215,119.8944155,121.4472632,79.47060928,89.80014551,91.36041495
100037501,45.94336498,31.96407329,46.4520573,14.3344278,14.53265643,13.62025382,40.16256598,47.7063273,50.15865919
100037502,51.45656878,58.28742776,60.11442709,37.03060516,43.59796928,37.455698,10.25427216,8.418763641,6.269832399
100037503,2.756601899,3.76047921,2.732473959,2.389071301,1.211054702,2.270042303,0,0,0
100037504,18.37734599,11.28143763,14.57319445,16.7234991,20.58792994,15.89029612,22.21758969,21.51461819,20.60087788
100037505,1.837734599,1.880239605,0.910824653,2.389071301,2.422109404,2.270042303,0,0,0.895690343
100037506,46.86223228,38.5449119,45.54123264,38.22514081,43.59796928,36.32067685,165.7774,177.7294546,190.782043
100037508,1.837734599,2.820359408,2.732473959,1.19453565,1.211054702,1.135021152,0.85452268,0,0
100037509,24.80941709,31.02395348,20.94896702,52.55956861,50.86429749,44.26582491,17.09045361,10.28960001,16.12242617
100037510,52.37543608,33.84431289,48.2737066,40.61421211,43.59796928,41.99578261,50.41683814,64.54385458,63.59401433
100037511,14.7018768,13.16167724,13.66236979,2.389071301,2.422109404,3.405063455,4.272613402,3.741672729,5.374142056
100037512,1.837734599,2.820359408,1.821649306,9.556285202,7.266328213,7.945148061,3.418090722,3.741672729,1.791380685
100037513,0.9188673,0.940119803,0.910824653,1.19453565,1.211054702,1.135021152,2.563568041,0.935418182,0.895690343
100037515,67.07731288,109.0538971,55.56030383,672.5235711,535.2861784,481.2489683,516.9862216,605.215564,656.5410212
100037516,15.62074409,14.10179704,15.4840191,37.03060516,41.17585987,35.1856557,17.09045361,16.83752728,18.8094972
100037517,5.513203798,5.640718815,5.464947917,4.778142601,4.844218809,5.675105758,2.563568041,2.806254547,4.478451713
100037726,5.513203798,6.580838618,3.643298612,7.167213902,7.266328213,4.540084606,11.96331753,11.22501819,11.64397445
100037727,35.83582469,29.14371388,34.61133681,26.27978431,26.64320345,24.97046534,35.0354299,33.67505457,34.03623302
100037728,0,0,0,1.19453565,1.211054702,1.135021152,5.127136082,4.677090912,8.061213084
100037730,128.641422,141.9580902,130.2479254,140.9552067,101.728595,139.6076016,86.30679072,87.92930914,72.55091775
100037731,15.62074409,11.28143763,15.4840191,111.0918155,96.88437617,94.20675558,30.76281649,29.93338184,27.76640062
100037732,15.62074409,15.98203664,15.4840191,22.69617736,29.06531285,21.56540188,34.18090722,31.8042182,34.93192336
100037733,79.94145507,64.86826638,81.06339411,16.7234991,9.688437617,15.89029612,90.57940412,82.31680005,42.99313645
100037735,19.29621329,11.28143763,20.03814236,8.361749552,3.633164107,5.675105758,14.52688557,10.28960001,16.12242617
100037736,0,0,0,1.19453565,0,1.135021152,1.709045361,3.741672729,5.374142056
100037737,226.960223,189.9042001,176.6999827,107.5082085,105.3617591,130.5274324,127.3238794,157.1502546,94.04748598
100125891,619.31656,518.946131,512.7942796,384.6404794,310.0300038,463.0886298,93.14297216,104.7668364,92.25610529
100125904,5.513203798,9.401198025,9.108246529,8.361749552,12.11054702,11.35021152,19.65402165,16.83752728,5.374142056
100125906,1.837734599,3.76047921,2.732473959,397.7803715,461.4118415,316.6709013,211.9216247,246.9504001,233.7751794
100125909,1722.876187,1064.215616,1678.649835,788.3935292,646.703211,662.8523525,188.8495124,276.883782,179.1380685
100125910,2.756601899,2.820359408,2.732473959,2.389071301,2.422109404,2.270042303,3.418090722,2.806254547,2.687071028
100125911,27.56601899,19.74251585,24.59226563,19.1125704,14.53265643,15.89029612,25.63568041,23.38545456,20.60087788
100134872,0.9188673,0.940119803,0.910824653,2.389071301,3.633164107,4.540084606,6.836181443,10.28960001,7.165522741
100134875,73.50938398,144.7784496,67.40102431,32.25246256,47.23113338,46.53586722,100.8336763,52.38341821,37.61899439
100134876,31.24148819,25.38323467,27.32473959,35.83606951,32.69847696,30.64557109,37.59899794,42.09381821,33.14054268
100134877,243.4998344,226.5688724,221.3303907,160.0677771,139.2712908,149.822792,95.70654021,100.0897455,76.13367912
100134879,158.9640428,121.2754545,142.9994705,123.037172,123.5275796,118.0421998,98.27010825,95.4126546,87.77765358
100134880,247.1753036,334.6826497,316.0561546,1460.9171,1808.10467,1477.797539,815.2146371,959.7390551,878.6722261
100134881,41.34902849,57.34730796,43.71958334,52.55956861,37.54269577,48.80590952,9.399749485,3.741672729,10.74828411
100134882,40.43016119,32.90419309,33.70051216,27.47431996,23.01003934,22.70042303,35.0354299,36.48130911,34.93192336
100134883,587.1562045,600.7365538,542.8514931,470.6470462,506.2208655,465.3586722,17.09045361,17.77294546,18.8094972
100134884,1.837734599,2.820359408,2.732473959,2.389071301,2.422109404,2.270042303,3.418090722,3.741672729,3.582761371
100134885,43.18676309,29.14371388,39.16546007,32.25246256,27.85425815,29.51054994,35.88995258,40.22298184,37.61899439
100134886,150.6942371,251.0119873,183.9865799,82.42295987,95.67332147,81.72152291,206.7944887,175.8586183,202.4260174
