GeneID,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618830
Solyc10g039383.1.1,0,1.007891575,0,0,2.172202477
Solyc04g005640.3.1,627.560999,654.1216319,733.5215481,1054.439524,848.2450673
Solyc05g005620.4.1,794.5626786,489.8353052,305.420993,215.2410955,185.7233118
Solyc07g056590.3.1,833.7036973,871.826212,913.7071548,896.0317515,826.5230425
Solyc11g012720.2.1,105.6807504,100.7891575,74.11890207,53.20566406,73.85488422
Solyc12g010170.2.1,16.96110808,8.063132596,8.945384733,12.09219638,2.172202477
Solyc09g091010.3.1,1827.885571,1948.254414,1952.649696,1857.361363,2125.500124
Solyc02g070540.3.1,285.7294361,326.5568702,180.1856068,334.9538396,149.8819709
Solyc04g064920.4.1,3.914101865,1.007891575,17.89076947,35.06736949,66.25217555
Solyc12g006297.1.1,189.1815901,247.9413273,180.1856068,291.4219327,260.6642972
Solyc11g071480.1.1,5.218802487,6.047349447,10.22329684,2.418439275,0
Solyc09g010820.3.1,155.259374,140.0969289,80.50846259,130.5957209,70.5965805
Solyc03g005260.3.1,11386.12233,10967.87611,7569.073396,3209.268918,3268.078627
Solyc11g010940.2.1,206.1426982,205.6098812,226.1904425,278.1205167,329.0886753
Solyc10g079490.2.1,691.4913295,854.6920552,678.5713276,804.131059,1171.903236
Solyc06g073970.3.1,901.5481296,878.881453,825.5312196,610.655917,548.4811254
Solyc08g075030.3.1,2.609401243,6.047349447,2.555824209,0,2.172202477
Solyc01g108450.3.1,52.18802487,29.22885566,37.05945103,14.51063565,7.60270867
Solyc12g038370.2.1,276.5965318,375.9435573,223.6346183,332.5354003,241.1144749
Solyc02g093550.3.1,1619.133472,1965.38857,1661.285736,3222.570334,2855.360156
Solyc12g005940.2.1,232.2367107,156.2231941,279.8627509,201.9396795,262.8364997
Solyc04g008690.3.1,1086.815618,1037.12043,1110.505619,1334.97848,1465.150571
Solyc02g032840.1.1,15.65640746,28.22096409,19.16868157,2.418439275,21.72202477
Solyc01g104040.4.1,477.5204275,399.1250635,232.580003,340.9999378,195.4982229
Solyc07g043250.1.1,152.6499727,128.00223,192.9647278,155.9893333,158.5707808
Solyc02g083560.3.1,197.0097939,216.6966885,148.2378041,229.7517312,207.4453366
Solyc01g096600.4.1,606.6857891,453.5512085,351.4258288,165.6630904,149.8819709
Solyc08g015990.4.1,1660.883891,1760.786581,1856.806288,2308.400288,2027.751012
Solyc04g080100.3.1,1167.707056,977.6548273,940.543309,773.9005681,838.4701561
Solyc04g064720.3.1,17806.55408,17548.4002,21888.07853,25508.48826,30978.86563
Solyc01g111460.3.1,15.65640746,15.11837362,19.16868157,14.51063565,7.60270867
Solyc08g048550.3.1,2288.44489,2449.176526,2260.626513,1906.939369,2319.912245
Solyc04g053080.4.1,4997.003381,3668.725331,5516.746556,2817.481756,4188.006376
Solyc02g085940.4.1,104.3760497,116.9154226,84.34219891,76.18083717,95.57690899
Solyc07g055720.4.1,472.301625,428.3539192,747.5785812,1373.673508,866.7087883
Solyc06g009520.3.1,7143.235904,7917.99621,7367.163283,3845.318448,5563.010544
Solyc09g059130.1.1,2.609401243,3.023674724,12.77912105,4.836878551,2.172202477
Solyc10g085020.3.1,7884.305857,8669.883324,7097.523829,2861.013663,3003.069924
Solyc07g039200.4.1,1491.272811,1382.82724,1160.344191,927.4714621,584.3224663
Solyc05g051840.1.1,1094.643822,1000.836334,1201.237378,644.5140669,808.0593214
Solyc05g013320.1.1,507.5285418,485.8037389,614.6757223,478.8509765,757.0125632
Solyc04g011350.3.1,1170.316458,1060.301936,704.1295697,380.9041859,258.4920948
Solyc01g058470.1.1,16.96110808,15.11837362,21.72450578,50.78722478,83.62979536
Solyc01g044420.4.1,0,2.015783149,0,0,2.172202477
Solyc03g123490.1.1,945.9079507,663.192656,614.6757223,226.1240722,261.7503985
Solyc06g052060.3.1,515.3567456,651.0979572,705.4074818,750.925395,880.8281044
Solyc07g045500.1.1,0,0,0,0,2.172202477
Solyc08g068710.1.1,347.0503654,214.6809054,330.9792351,137.8510387,157.4846796
Solyc01g106450.3.1,2779.012324,2506.626346,2881.691796,2258.822283,2236.28245
