SampleID,condition
GSM4462432,control
GSM4462433,control
GSM4462434,control
GSM4462435,Salt stress
GSM4462436,Salt stress
GSM4462437,Salt stress
GSM4462438,Salt stress
GSM4462439,Salt stress
GSM4462440,Salt stress
