GeneID,GSM7413358,GSM7413360,GSM7413364,GSM7413365,GSM7413366,GSM7413367,GSM7413369,GSM7413370,GSM7413371,GSM7413372,GSM7413373,GSM7413374,GSM7413375
543974,24631.05552,17506.20566,14955.60288,10587.61573,18096.05505,11106.9306,3653.379551,12951.69877,10598.57645,11292.12598,8277.561961,12060.90639,17322.69855
101268337,29374.26481,17293.74221,15159.78523,7966.263964,18230.04065,9531.247954,3942.92248,14065.17969,9375.663786,9908.934136,8112.170136,12166.69506,20143.5829
544097,18406.02611,20226.12956,9748.450005,15683.01853,9028.029675,15263.25106,16366.58699,6989.188034,12092.91849,8898.140099,5411.102433,6223.567416,5040.662428
778298,9926.612134,12523.59489,11218.96527,13847.27066,12064.7033,12812.18916,8537.069499,9363.815803,10222.52341,11306.90367,9021.825175,12344.34018,9362.807177
778297,11400.51867,11370.22183,9813.828591,8761.888315,12609.64473,12021.87501,6368.956236,10833.49089,9930.366708,13344.25461,7357.943558,9058.903373,11142.0416
544123,2785.584431,4395.154207,130.7571709,4165.504314,329.9645357,3776.494883,2814.396797,226.4876065,2036.213748,332.9906281,3222.151587,741.5186962,940.294783
101249777,12982.2479,10013.19717,2400.902823,1234.520403,3207.655244,5494.61212,3733.423842,10973.17487,7474.671213,9895.141625,6226.105524,6511.991242,9615.693288
778301,12552.93552,8094.172384,3578.723186,2843.805928,5250.435688,6141.502547,3155.326185,8015.865334,7209.163943,7274.564492,4623.996757,6039.934253,8505.804248
543973,13443.21464,7661.412714,6622.347796,4311.802998,8318.105977,4015.864123,1001.047737,4673.427088,3951.024543,3538.764309,2040.496738,3378.251395,6110.410815
101246870,10003.76966,7400.973636,2237.959272,886.8105167,2375.744657,3757.70143,1744.174982,8264.303281,5590.45791,5330.805588,4324.099532,5467.078625,9450.113097
101250853,5986.63245,5504.468023,1950.293496,1770.614896,2510.730149,4224.570362,2597.980752,6677.892293,4900.533814,5493.360185,3150.415373,3648.711108,5236.348108
778214,573.7354298,683.407805,995.7661479,2380.860777,1030.889201,4616.265484,2461.608997,5696.113417,7000.903594,5884.476396,4466.575622,4276.457084,3874.576475
543941,2455.19196,4097.509547,3228.696298,3141.413525,3061.670934,3467.886605,2990.296597,2870.505921,2485.305971,3124.988972,2318.474565,2563.878238,2281.99609
544061,1020.853385,1963.084024,1922.130413,2918.959362,1059.886084,2767.583206,2362.788884,1835.846678,2151.694605,3079.670721,2426.078885,2440.125454,1882.596599
100736432,1837.931773,2146.174654,1294.495992,1795.666041,1325.857498,2142.453619,1757.021596,1766.004685,2045.096891,2076.758119,2639.294853,2917.172475,2954.352018
101266080,659.7957442,2069.805301,1182.849485,1754.582164,1128.878669,4055.429287,2291.638404,2930.370486,3750.660321,2850.123927,3129.492311,2858.290102,1964.884936
543931,5246.711585,2768.878614,3920.703479,2987.098475,5239.43687,1689.432493,597.8616792,2341.702258,1753.927208,1887.603679,1117.889326,1423.157013,2773.719082
544106,3904.368519,2972.530223,2442.141623,1625.318258,2843.694362,2169.160104,1342.965326,3573.914566,2983.748987,3277.691775,2287.588139,2270.464379,3029.615742
101055572,4396.000431,3670.624443,292.694898,167.3416455,311.9664701,2492.605318,2540.665086,4641.49932,3779.283781,4271.737762,2575.529329,2928.150545,4252.902124
778358,1696.476314,2289.122418,1023.929231,1734.541248,1255.865021,1144.422362,1012.906151,1183.322913,1593.043621,1106.356436,2255.705378,2908.190418,1504.27095
101266713,5193.294838,2897.139964,2099.155506,1348.753622,2517.729397,1764.606304,871.5933902,2970.280197,2324.422383,2489.548276,1398.856162,1595.812107,2971.411796
101264784,1615.361995,1582.216351,1548.969563,1353.763851,1807.805699,583.5861657,713.4812106,3361.395359,2620.527145,3113.166819,1906.987674,2179.645804,2982.450475
101268297,4715.511713,3520.823018,676.9198157,684.3972689,1158.875445,1818.019276,813.289524,2460.433646,2006.603272,2217.638769,987.369271,1291.420179,2835.937094
544187,1144.503262,1837.759957,1119.482548,1362.782263,1385.85105,1546.008775,821.195133,3481.12449,2514.916447,4420.499848,1784.438309,1886.231946,1906.68099
544077,3426.585394,2299.892456,2386.821282,1660.38986,2965.681251,1409.50896,706.5638027,2019.431346,1555.537017,1896.470293,849.8748619,1078.844833,2013.053719
543975,3502.753719,2782.585934,244.4153272,198.4050648,369.960237,1092.987649,837.0063509,2844.564609,2151.694605,3002.82673,1471.588712,1815.373497,3239.35065
101245583,2253.39536,1711.456795,2824.354892,2358.81577,3525.621069,1172.117977,456.5489187,1208.266482,994.9120009,1216.696526,793.0836929,998.0063207,1480.186558
101249002,3638.273984,2069.805301,1448.387124,1086.217627,1977.787429,1213.661399,435.7966951,2319.751917,1572.316287,1764.456257,926.5927568,1168.665401,2306.080482
544053,3542.321679,2053.160698,2016.677906,1339.73521,2586.721981,1112.770231,558.3336343,2462.429132,1665.095779,1859.033477,1001.317979,1280.442109,2512.804842
101254439,2204.924609,1686.979438,1551.987037,987.0150949,1775.809138,1625.139102,1044.528587,2327.733859,1780.576637,2137.83924,1429.742587,1172.657427,1953.846257
101266527,3264.356756,2110.92726,1519.800656,978.9987287,2291.753684,834.8249557,453.5843153,2259.887352,1637.459335,1809.774509,742.2705418,934.1339161,2180.640943
101264376,2747.994869,2100.157223,1015.882636,780.5936639,1379.851695,937.6943815,426.902885,2033.399745,1437.095112,1713.22693,1019.252033,1128.745149,2273.96796
544226,1626.243184,1049.589064,621.5994741,145.2966383,386.95841,1125.628909,1054.410598,5517.517463,3914.504956,5972.15736,1063.09083,1175.651446,2211.749948
101258282,861.5923437,1261.073428,968.6088893,936.9128058,891.9041389,1385.769861,1236.239604,1729.088203,1857.563875,2002.869666,1587.163722,1852.299731,1755.150027
101259182,1345.310663,1505.846997,1459.451193,1705.48192,1788.80774,1964.410382,1345.929929,1329.991099,1246.601049,1626.531145,1160.731787,1075.850814,1434.024808
101261882,2344.40167,1852.446371,1042.03407,864.7655095,1164.8748,1095.955037,551.4162265,1293.074617,1633.511271,1650.17545,970.4315539,1582.838025,1774.216837
101266666,2154.475459,1598.860954,2100.16133,1720.512607,2725.707043,1140.465846,516.8291872,1339.968527,1048.210858,1280.733185,615.735832,781.4389491,1339.694275
101258321,2565.98225,1795.658903,1730.017954,1235.522449,1942.79119,1028.694258,536.5932096,1828.862479,1347.276668,1663.967961,1074.050529,1163.67537,1767.192223
101254806,2647.096569,2020.850587,958.5506454,828.6918614,1327.857283,777.4554682,307.3305492,1537.521593,1204.159366,1496.487468,622.710186,764.4728416,1847.473528
543809,934.7930709,889.9966973,12.0698927,16.03273251,14.99838799,961.4334798,1006.976944,2230.952811,1873.356129,2164.439083,3843.865436,3942.124967,3713.010349
101265249,2435.407979,1653.690233,1714.930588,1373.804767,2312.751427,1029.683387,429.8674884,1372.894038,1021.56143,1184.185607,635.6625579,880.2415748,1523.337759
