GeneID,GSM7413376,GSM7413377,GSM7413378,GSM7413379,GSM7413380,GSM7413381,GSM7413382,GSM7413383,GSM7413384,GSM7413385,GSM7413386,GSM7413387,GSM7413388,GSM7413389,GSM7413390,GSM7413391,GSM7413392,GSM7413393
543974,37462.45505,22374.09609,27634.63019,14409.19775,10274.91811,10268.51513,3267.912889,6018.258944,8867.971584,7671.940743,4550.035992,5644.364785,12804.57285,5883.56342,9540.966045,7604.311322,16923.31658,11872.56918
101268337,29506.3324,17015.97696,22448.71002,11887.63843,9955.654996,14438.9253,2281.505952,6750.128621,8872.040394,7290.128801,3424.204752,6815.781741,14464.55297,6672.716429,9303.509949,8180.754445,22953.48761,15166.26263
544097,16080.37544,17328.83766,13867.90944,12269.84527,14468.96458,11971.74571,17897.102,10147.5971,6831.532136,5442.555688,10989.48563,4291.310208,6209.116119,6124.827008,9351.199876,6583.691137,3908.558955,5546.427038
778298,7902.117201,6127.614696,5152.527899,15004.63576,16213.01369,13805.03067,10018.91816,11145.32964,13576.60206,16424.85556,11807.40536,10906.02785,13993.23719,12563.00832,10730.2336,11424.23407,8341.839885,11046.63385
778297,12014.68265,7583.581308,8818.593998,12715.41797,11250.55445,14293.45708,2735.997221,7335.624362,6476.528456,13225.569,9993.301341,9878.366867,13920.11901,13334.85955,11812.19882,6756.426662,9486.312222,9514.332903
544123,613.4203166,519.4095075,317.7324745,349.0151904,21354.9345,759.1321818,3525.323873,3887.373084,400.7777936,1763.27697,2300.280086,807.17039,989.0714887,5919.128172,4324.880266,14019.21518,893.4734399,4061.351103
101249777,7712.588665,4576.473633,4863.128256,1968.365209,1769.828122,4072.146868,288.5818458,1161.034072,692.7149173,4177.121821,2559.573987,3369.523566,12545.695,9504.43965,8912.055131,4338.129318,7779.932889,6175.424018
778301,12874.69385,6841.423084,9815.302557,3576.651346,2321.102315,3152.132613,640.5109262,1670.853492,1615.317604,4530.173903,2566.246991,3349.125758,7985.690082,6220.947959,5998.995416,5043.877318,8688.900088,6778.296522
543973,17762.69594,13641.33391,15150.98198,4697.120862,2911.045022,1987.423466,1584.686373,2542.126917,3563.260434,1898.150799,694.9457863,881.9623516,5041.201534,1912.806928,2928.956357,1928.715515,7165.347112,4462.261318
101246870,6598.853771,5359.131624,5704.006238,1362.869115,1083.709881,1217.694261,248.3613795,749.7930154,786.2975493,2431.695799,997.1375754,1764.896027,7990.630499,3709.307505,5532.031546,3028.300511,7092.009986,4915.420484
101250853,4321.454423,3496.142357,3807.73026,3105.933452,2357.787828,4655.94649,725.9794171,1626.045145,940.9123326,3738.781877,2954.234557,2542.926692,6749.597742,5749.955298,6179.819723,2475.546832,3879.637272,3354.985486
778214,2203.014492,3242.006321,3024.529829,4727.295086,3539.656243,1837.138414,4086.399378,982.7964226,3778.907368,2754.996301,3836.977764,3257.821285,5283.281968,2757.710089,4994.526326,5821.680709,5645.925806,4568.768794
543941,4321.454423,3714.841097,3872.491019,2752.895032,3152.971107,3415.131452,2243.296509,2962.329642,2815.61658,3747.707351,4217.339038,2896.488692,3369.364412,3257.539035,3012.41373,1929.702575,1993.530334,2157.278777
544061,1984.954779,3341.23075,2205.913358,6920.961167,4946.595237,3479.676955,11087.77705,2503.293016,4086.10253,1230.72369,4569.10172,1438.531104,3174.711981,2415.519503,2220.562232,3998.580629,1685.720987,3059.577959
100736432,1755.686388,1678.715328,1890.204657,1885.888997,3217.41863,2055.822431,1288.060434,1855.065588,1708.900236,2210.542388,2019.060597,2238.902225,2660.90861,3002.818514,2535.514459,3368.83626,2617.412366,3263.549823
101266080,1844.336832,2389.486233,2508.46753,2186.625429,1814.445637,1420.964427,4165.834799,1166.012777,1980.49331,2485.248643,2773.11014,2372.944961,3001.797385,1848.405891,2678.58424,3818.935684,2347.820958,2753.117769
543931,4677.075171,2432.010988,3221.847767,3266.862647,2523.368386,4060.58648,975.3463083,2215.52385,1849.274184,1212.872742,632.0288838,1021.833033,2445.506428,1564.849085,1712.863216,979.1636594,2868.411263,1876.943063
544106,2045.074045,1204.868058,1312.417259,1372.92719,1879.88466,2910.327819,456.5022927,1749.517036,1480.029669,2147.072351,1571.969275,2074.748439,4296.186646,3444.974889,3348.2303,1708.601103,2501.725632,2274.838916
101055572,1876.943892,1420.529316,1463.188402,318.8409664,283.5690996,330.4344395,113.6228174,173.2589438,226.8361623,2154.014387,1476.640635,1979.55867,4153.902636,4362.929973,4587.174865,2464.689171,3049.171785,2908.859833
778358,2193.843757,2808.658818,2984.054355,2088.056298,2634.416425,1363.162484,1859.191056,1219.782794,2777.980087,1061.139684,744.5166792,900.4175109,1735.07446,1592.724161,1215.099601,3448.788131,2555.43733,2929.96037
101266713,3453.29145,2042.200734,2350.613179,1574.088683,1778.751625,2424.791499,361.9841969,1191.902044,1257.262317,1402.291134,826.4993096,1172.38828,3063.058556,1746.517682,2385.489896,1204.213371,2992.361336,2135.173452
101264784,992.4773893,773.5455433,1109.028,6404.981938,4259.485496,6937.196499,496.7227591,634.2870529,741.5406383,1324.937026,150.6192514,657.586467,1950.476642,1214.968823,2506.701794,1383.858317,2861.180842,1981.440964
101268297,5675.666384,3416.155318,3941.299326,2534.634812,1296.882455,2146.378808,168.9259585,353.488075,204.4577069,1306.094359,689.2260679,720.7225384,2329.90067,1554.27578,1922.500187,992.9825013,2624.642787,1614.693524
544187,475.8592821,763.4206016,969.3876133,2540.669657,3314.585664,3334.208732,1055.787241,1096.310903,826.9856502,1150.394424,1489.986645,943.1557746,5583.659323,3149.883569,2216.588071,1022.594306,1566.935501,2064.838327
544077,3004.944375,2120.162785,2397.159975,2820.284132,1878.89316,2880.463482,621.4062046,1240.693356,1066.028243,1246.591199,693.0392135,836.3101153,2088.808319,1537.935218,1613.509201,776.8163306,1825.164819,1284.118434
543975,3359.546152,2642.609775,3060.957756,3106.93926,1407.930494,2224.411431,92.50707254,88.62095401,71.20417652,1173.203968,335.5568131,598.3356923,2659.920527,1828.220491,2285.142341,1278.242882,2980.999246,2111.058552
101245583,2894.895547,1825.526982,2096.629577,3310.112368,2111.895742,3041.345556,848.6518394,1486.641397,1720.089464,1020.479191,549.092967,656.6151428,1384.304851,1082.32191,1008.443251,774.8422103,1527.684645,1150.481695
101249002,3078.31026,1917.663951,2381.981672,2654.3259,1801.556133,2573.149819,351.9290803,699.0102215,618.4591332,855.8537825,337.4633859,501.2032747,2250.853997,1245.727527,1521.109967,878.4835251,2419.09225,1520.243498
544053,2562.711123,1321.304887,1835.562767,1720.936573,1219.545428,1652.172198,354.9456153,1010.677172,786.2975493,685.2780576,318.3976579,544.9128626,2287.413083,1125.576338,1522.103507,1067.012012,2923.155878,1786.512187
101254439,1325.680784,917.3197149,957.244971,1270.334828,1178.893914,2069.309551,363.9952202,980.8049404,896.1554216,1803.937463,1212.580302,1587.143703,2590.754689,2099.281573,2196.717268,881.4447055,1567.968418,1281.104071
101266527,2512.781563,1923.738916,2202.877697,3574.639731,1722.236105,3400.680967,289.5873575,669.1379898,445.5347045,649.5761617,243.0880322,353.562,1819.061549,1087.127958,1476.40066,582.3654829,2213.541713,1243.926934
101264376,2394.58097,1576.453417,1836.574654,3511.273861,2313.170312,4150.179491,371.0338018,544.6703578,564.5473996,645.6092844,256.4340419,376.8737802,1968.262143,1410.094353,1542.96785,768.9198495,2159.830015,1234.883846
544226,603.2306103,511.3095541,687.071179,195.1266482,88.24353099,147.3949541,15.08267487,81.65076662,516.738881,2107.403578,365.1086916,1339.456038,6008.535188,1622.521655,4665.664537,756.0880676,1369.648302,952.5385566
101258282,974.135918,1119.818548,1008.851201,1848.674121,1488.242023,1858.33246,952.2195401,801.5715503,1155.542065,1640.303773,1104.858939,1880.483604,1644.170786,1787.849691,1455.536317,1466.771369,1237.434891,1517.229135
101259182,618.5151697,211.6112808,259.0430365,1277.375481,1319.686963,1331.371415,1284.038387,1462.743612,1199.281773,3509.694712,2274.541353,1654.165071,2530.481601,2700.998727,2059.608728,732.3986243,1117.616488,996.7492069
101261882,4083.015296,2741.834203,3641.780815,1098.341752,1052.97337,714.817359,400.1936399,587.4872232,974.4800158,1018.495753,532.8870981,782.8872856,1398.138018,946.7913689,974.6628855,1576.335044,2015.221597,1409.716872
101266666,2073.605223,1100.581159,1482.414252,2447.129563,1750.989615,2761.006133,611.3510881,1244.67632,1234.883861,1211.881022,810.2934408,871.2777856,1572.040698,1245.727527,1110.777886,570.5207612,1247.764064,888.2321561
101258321,2207.090375,1360.79216,1566.400862,1565.036416,1287.958952,1675.292975,479.6290609,914.0902897,1193.178558,1031.388104,485.2227781,661.4717637,1915.893723,1309.167355,1495.277923,939.6812538,1857.185254,1437.850922
101254806,2840.890104,1690.865258,2261.567135,3603.808147,2097.023236,3630.925372,233.2787047,465.0110733,313.2983767,575.1972119,142.9929601,272.9420934,1552.27903,863.1661414,1144.558251,441.2158828,1897.469028,1041.964645
543809,396.3795733,497.1346358,469.5155037,157.911772,257.7900905,399.7967709,11.06062824,21.90630324,19.32684791,733.8723048,456.6241861,1328.771472,2502.815266,2346.312418,1698.953654,2994.740466,2780.613295,3109.817334
101265249,2777.713925,1548.103581,1868.955033,2153.433783,1556.655547,2111.697643,542.9762953,922.0562181,957.1875729,979.8186989,432.792026,567.2533186,1307.234345,949.6749974,1138.59701,667.252655,1430.590421,1118.328495
101263732,2678.873774,1583.540877,2038.952026,2617.111024,1866.995156,2935.375327,502.755829,905.1286202,657.112829,598.9984758,208.7697218,408.927478,1529.553111,832.407437,897.166754,565.5854605,1734.268099,1042.969432
544299,2305.930526,1424.579292,1602.828789,2457.187637,1792.63263,2331.345025,574.1471567,1143.110733,982.617636,959.9843122,424.2124484,570.1672912,1457.423023,1054.446834,1097.861864,537.9477766,1280.817417,973.6390942
543978,1985.973749,1094.506194,1458.128967,2462.216675,1584.417556,2757.15267,316.7361723,864.3032369,584.89145,747.7563755,429.9321668,632.3320384,1719.265125,1240.921479,1227.022083,787.6739921,1792.111466,1067.084332
101267774,654.1791416,454.6098808,650.6432519,4005.125326,3033.991065,5525.865729,308.692079,474.9684838,384.5025532,351.0686431,81.98263048,273.9134176,724.2651361,679.5751247,971.6822651,941.655374,1750.794775,1266.032259
544227,1489.735055,1157.280832,1454.08142,1510.722813,1550.706545,1533.678215,928.0872603,1084.36201,1222.677431,1330.887342,1371.779131,1136.449286,1397.149935,1399.521049,1078.984601,1136.106222,1055.641451,1220.816821
543803,3204.662617,2588.947584,2297.995062,904.2209111,365.8636285,487.4630507,282.5487759,337.5562181,382.4681482,1194.030074,154.432397,489.5473846,2492.934432,346.0354242,1435.665514,439.2417625,2991.328418,1709.143549
101249787,1560.044028,1196.768105,1283.07254,443.5610921,403.5406417,507.6937307,126.6944689,389.334753,431.2938692,1245.59948,527.1673797,846.0233571,2343.733837,1994.509736,1959.261173,1039.374328,2534.778984,1867.899975
101259494,2297.778761,1453.941623,1655.446905,1662.59974,1325.635966,2311.114345,395.1660816,1006.694208,878.8629788,768.5824814,418.49273,602.220989,1465.32769,1015.037244,1015.398032,646.524392,1511.157968,963.5912192
101255222,3803.817345,2420.873552,3119.647194,2060.899496,1166.99591,1741.765209,242.3283096,452.0664396,374.330528,882.6302044,325.0706627,424.4686648,1517.696111,1043.87353,1108.790806,631.7184899,1702.247663,898.2800312
101055519,1124.943571,783.6704849,735.6417483,454.6249742,603.823712,729.2678447,170.9369819,723.9037479,727.299803,1213.864461,822.686164,856.707923,2553.207519,2310.747666,2089.414932,1204.213371,1430.590421,1331.343447
101243766,1725.117269,1383.067032,1722.231438,3299.048486,1953.255686,3735.932235,120.661399,239.9735946,116.97829,539.495316,191.6105666,333.1641923,1544.374362,1131.343595,1449.575076,645.5373319,1805.539391,1106.271045
101256127,1836.185067,3821.152985,3111.552099,1932.15614,1404.955993,826.5677817,2640.473614,485.9216355,735.4374232,514.7023327,1118.204948,988.8080109,1487.065525,1000.619102,1497.265004,1193.35571,417.2985777,866.126831
101258049,4423.351485,2020.938356,2874.770574,2161.480243,1099.573886,1621.344495,350.9235686,658.1848382,612.3559181,596.0233178,233.5551682,306.9384395,1203.485588,533.4712789,725.2843083,462.9312059,1609.285109,956.5577066
100736441,788.6832642,978.0693649,1007.839314,1084.260447,911.18882,1271.642741,1873.268219,557.6149915,921.5854847,1377.498151,2178.259426,1409.391379,2179.711992,1337.042431,1357.175843,1351.285332,795.3462991,940.4811065
544034,836.5748836,1010.469178,747.7843906,586.3857522,689.092742,490.3531479,4432.295389,544.6703578,1832.998944,770.5659201,1606.287586,1189.872115,2549.255186,950.6362069,1546.942011,2961.180422,990.5676634,1276.080134
544149,28.53117751,711.7833991,169.9969927,175.0104989,2356.796328,210.9770911,417.2873381,416.2197615,397.726186,504.7851394,304.0983619,1371.509736,91.89175669,301.8197866,427.2222638,5211.677542,444.1544267,3068.621046
101260830,2030.808457,1085.393747,1428.784248,264.5273633,208.2150731,182.0761197,62.3417228,144.3824532,201.4060993,823.1270446,200.1901442,474.9775219,2104.617653,1050.601996,1805.26245,1333.51825,2264.154659,1593.592986
