SampleID,condition
GSM7413358,control
GSM7413359,control
GSM7413360,control
GSM7413361,Salt stress
GSM7413362,Salt stress
GSM7413363,Salt stress
GSM7413364,Salt stress
GSM7413365,Salt stress
GSM7413366,Salt stress
GSM7413367,Salt stress
GSM7413368,Salt stress
GSM7413369,Salt stress
GSM7413370,Salt stress
GSM7413371,Salt stress
GSM7413372,Salt stress
GSM7413373,Salt stress
GSM7413374,Salt stress
GSM7413375,Salt stress
