SampleID,condition
GSM7413376,control
GSM7413377,control
GSM7413378,control
GSM7413379,Salt stress
GSM7413380,Salt stress
GSM7413381,Salt stress
GSM7413382,Salt stress
GSM7413383,Salt stress
GSM7413384,Salt stress
GSM7413385,Salt stress
GSM7413386,Salt stress
GSM7413387,Salt stress
GSM7413388,Salt stress
GSM7413389,Salt stress
GSM7413390,Salt stress
GSM7413391,Salt stress
GSM7413392,Salt stress
GSM7413393,Salt stress
