id,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618829,GSM4618830,GSM4618831,GSM4618832,GSM4618833,GSM4618834,GSM4618835,GSM4618836
Solyc01g010067.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g086415.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g079750.2.1,343,519,391,345,234,297,815,613,610,742,732,805
Solyc03g013220.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g079110.4.1,5837,8573,6443,7242,10065,10398,10890,11103,10326,7833,8949,9841
Solyc07g008360.2.1,12,29,22,2,0,2,30,14,18,20,12,8
Solyc04g025070.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc02g080930.3.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g064250.3.1,2517,3574,2746,2537,2242,3007,3393,2993,3006,2650,2675,3151
Solyc04g025030.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g062350.2.1,1259,1911,1653,3205,3092,2876,2023,2652,1758,1560,1565,1977
Solyc02g079440.3.1,13,16,18,2,0,0,4,4,0,0,0,4
Solyc02g093140.4.1,2942,3497,2620,1468,1284,1518,4318,3616,3111,3940,4502,4258
Solyc06g030620.3.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc12g088240.2.1,4,0,0,4,0,0,173,83,65,16,57,52
Solyc10g079755.1.1,4035,3783,4151,4311,4876,7311,8688,10908,9593,3293,2320,3979
Solyc03g034080.4.1,1423,1641,1449,876,792,1338,2559,2106,2115,2484,2852,2470
Solyc03g095470.3.1,1221,1790,1340,1107,875,1288,1838,1693,1413,1849,1588,1897
Solyc08g061270.1.1,575,926,595,1881,1421,1520,1174,1547,590,575,692,448
Solyc04g064950.1.1,1,5,0,1,3,0,11,5,10,2,7,1
Solyc00g500347.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g055260.4.1,301,454,321,1259,396,720,1457,1337,1135,1007,504,760
Solyc05g023810.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g044820.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc07g009180.1.1,2,0,4,3,2,4,36,15,35,14,26,25
Solyc11g010370.1.1,583,606,594,628,631,595,792,958,560,676,521,689
Solyc11g042857.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g018700.3.1,0,2,5,2,3,0,0,0,2,1,0,0
Solyc09g074205.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g007910.4.1,107,124,87,130,84,149,242,161,193,335,400,202
Solyc01g094810.3.1,548,608,955,1487,1302,1892,2317,2461,1589,1158,860,959
Solyc05g054100.3.1,1717,2492,2294,3371,2412,3145,3286,3154,2874,2458,2085,2749
Solyc04g074870.3.1,1662,1975,2337,3118,3570,4125,2356,3324,2344,1858,1703,2636
Solyc10g049640.2.1,6,4,10,32,0,14,56,58,42,39,6,16
Solyc03g063060.3.1,1217,1605,1600,2812,2732,3195,3765,4203,3368,2727,2359,3071
Solyc05g056050.3.1,167913,212620,203107,172963,295776,247027,135888,198649,148715,139961,132969,173420
Solyc11g071400.1.1,4,11,12,19,11,11,90,96,64,23,23,31
Solyc04g064956.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc08g075020.3.1,1228,1500,1297,2607,2263,5088,2249,2863,2231,2305,1671,1404
Solyc02g068930.4.1,823,1263,964,1044,991,1355,1493,1409,1372,1011,1109,1269
Solyc06g071400.3.1,2,6,1,0,4,0,12,4,0,2,3,4
Solyc12g010960.2.1,97,254,192,257,558,299,533,363,227,359,290,514
Solyc07g021210.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc11g013780.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc09g011840.1.1,4935,5539,5025,6101,7023,7212,6936,8434,5765,9294,8847,10913
Solyc02g069300.1.1,6,2,2,34,4,10,43,31,23,16,15,4
Solyc03g113500.4.1,351,379,173,86,44,88,496,172,258,1079,1278,704
Solyc03g113090.3.1,126,241,156,228,63,136,309,96,99,81,116,207
Solyc02g070830.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g100480.3.1,901,1149,1234,2018,1733,1756,1738,1888,1467,1312,1116,1474
Solyc02g083310.3.1,4594,4910,5119,2950,4099,6485,2453,2715,1935,2263,2536,2990
Solyc01g066850.4.1,16,16,30,56,46,38,34,44,6,6,6,12
Solyc03g063505.1.1,0,0,0,0,0,0,0,0,0,0,0,1
Solyc05g056090.3.1,419,639,440,918,512,676,1127,1013,935,696,686,866
Solyc04g005610.3.1,245,137,303,1397,916,1658,1977,2285,1388,581,473,878
Solyc05g007940.3.1,300,475,425,260,230,434,308,308,172,321,152,177
Solyc06g075590.4.1,1341,1621,1031,799,496,898,2159,1652,1740,2565,2782,2488
