,Solyc02g084850,Solyc03g116390,Solyc04g081900,Solyc01g087180,Solyc07g063410,Solyc03g007230,Solyc10g081980,Solyc12g098900,Solyc03g019820,Solyc10g078770,Solyc06g068620,Solyc04g005250,Solyc08g075280,Solyc09g075890,Solyc02g081560,Solyc07g017610,Solyc01g096320,Solyc08g083130,Solyc06g067980,Solyc06g050800,Solyc10g080670,Solyc03g111100,condition
GSM7413390,1034.275294,82.46383231,45.70284682,108.2958762,70.54135053,358.6679936,117.2377375,309.9845263,79.48321187,256.3333583,33.78036504,28.8126643,90.4121535,21.85788326,12.91602193,45.70284682,566.3178846,175.8566063,185.7920077,23.84496356,15.89664237,308.9909861,1
GSM7413391,1765.850591,623.8220088,161.877863,80.93893152,168.787284,157.9296225,136.2142994,246.7650351,19.74120281,1049.244929,113.5119162,18.75414267,89.82247279,10.85766155,18.75414267,72.05539026,557.6889794,150.0331414,684.0326774,30.59886436,181.6190659,244.7909148,1
GSM7413392,367.7185487,308.8422642,71.27129173,37.18502177,20.65834543,79.53462991,96.06130625,98.12714079,6.197503629,103.2917272,60.94211902,18.59251089,40.28377359,23.75709724,16.52667634,65.07378811,271.6572424,45.44835995,498.8990421,8.263338172,50.6129463,47.51419449,1
GSM7413393,782.7294679,613.9251667,150.718126,73.34948801,116.5553508,141.6750385,160.7660011,187.8952638,23.11011266,582.776754,42.20107529,19.09096263,52.24895036,18.08617512,26.12447518,96.45960067,313.4937022,64.30640044,548.6139788,23.11011266,131.6271634,80.38300055,1
GSM4462432,0,0,8.269805697,1.837734599,2.756601899,47.78109958,47.78109958,2.756601899,2.756601899,0,0,11.9452749,5.513203798,1.837734599,5.513203798,23.89054979,1.837734599,5.513203798,0.9188673,0,40.43016119,3.675469199,0
GSM4462433,1.880239605,0.940119803,8.461078223,1.880239605,2.820359408,43.24551092,82.73054262,1.880239605,0.940119803,0.940119803,0.940119803,10.34131783,3.76047921,6.580838618,7.52095842,15.04191684,2.820359408,6.580838618,0.940119803,0,13.16167724,10.34131783,0
GSM4462434,1.821649306,0,8.197421876,1.821649306,1.821649306,40.98710938,61.9360764,1.821649306,1.821649306,0,0.910824653,11.84072049,6.37577257,2.732473959,6.37577257,18.21649306,1.821649306,7.286597223,0.910824653,0.910824653,28.23556424,4.554123264,0
GSM4462435,2378.32048,1147.94876,438.3945837,457.5071541,99.14645897,400.1694428,295.0503056,309.3847334,1.19453565,80.03388857,1157.505045,23.89071301,29.86339126,377.4732655,20.30710605,126.6207789,900.6798803,363.1388377,189.9311684,20.30710605,127.8153146,247.2688796,1
GSM4462436,2938.018707,1436.310877,571.6178194,633.3816092,117.4723061,404.4922705,448.0902398,369.3716842,2.422109404,179.2360959,1096.004505,26.64320345,27.85425815,368.1606295,23.01003934,136.8491813,966.4216523,382.6932859,399.6480517,19.37687523,110.2059779,217.9898464,1
GSM4462437,2243.936817,1201.9874,465.3586722,570.9156393,110.0970517,354.1265993,331.4261763,354.1265993,2.270042303,99.88186134,970.4430846,26.10548649,37.455698,354.1265993,20.43038073,111.2320729,961.3629154,358.6666839,273.5400975,24.97046534,97.61181904,222.4641457,1
